PLAYER,TYPE,PRICE PAID,TEAM
Jason Behrendorff,Bowler,"1,50,00,000",Mumbai Indians
Jean-Paul Duminy,All-Rounder,"1,00,00,000",Mumbai Indians
Saurabh Tiwary,Batsman,"80,00,000",Mumbai Indians
Tajinder Dhillon,All-Rounder,"55,00,000",Mumbai Indians
Akila Dhananjaya,Bowler,"50,00,000",Mumbai Indians
Nidheesh M D Dinesan,Bowler,"20,00,000",Mumbai Indians
Aditya Tare,Wicket Keeper,"20,00,000",Mumbai Indians
Siddhesh Dinesh Lad,Batsman,"20,00,000",Mumbai Indians
Mayank Markande,Bowler,"20,00,000",Mumbai Indians
Sharad Lumba,Batsman,"20,00,000",Mumbai Indians
Anukul Roy,All-Rounder,"20,00,000",Mumbai Indians
Mohsin Khan,Bowler,"20,00,000",Mumbai Indians
Benjamin Stokes,All-Rounder,"12,50,00,000",Rajasthan Royals
Jaydev Unadkat,Bowler,"11,50,00,000",Rajasthan Royals
Sanju Samson,Wicket Keeper,"8,00,00,000",Rajasthan Royals
Jofra Archer,All-Rounder,"7,20,00,000",Rajasthan Royals
Krishnappa Gowtham,Bowler,"6,20,00,000",Rajasthan Royals
Jos Buttler,Wicket Keeper,"4,40,00,000",Rajasthan Royals
Ajinkya Rahane,Batsman,"4,00,00,000",Rajasthan Royals
Darcy Short,All-Rounder,"4,00,00,000",Rajasthan Royals
Rahul Tripathi,Batsman,"3,40,00,000",Rajasthan Royals
Dhawal Kulkarni,Bowler,"75,00,000",Rajasthan Royals
Zahir Khan Pakteen,Bowler,"60,00,000",Rajasthan Royals
Ben Laughlin,Bowler,"50,00,000",Rajasthan Royals
Stuart Binny,All-Rounder,"50,00,000",Rajasthan Royals
Dushmantha Chameera,Bowler,"50,00,000",Rajasthan Royals
Anureet Singh,Bowler,"30,00,000",Rajasthan Royals
Aryaman Vikram Birla,All-Rounder,"30,00,000",Rajasthan Royals
Midhun S,All-Rounder,"20,00,000",Rajasthan Royals
Shreyas Gopal,All-Rounder,"20,00,000",Rajasthan Royals
Prashant Chopra,Wicket Keeper,"20,00,000",Rajasthan Royals
Jatin Saxena,All-Rounder,"20,00,000",Rajasthan Royals
Ankit Sharma,All-Rounder,"20,00,000",Rajasthan Royals
Mahipal Lomror,All-Rounder,"20,00,000",Rajasthan Royals
Chris Woakes,All-Rounder,"7,40,00,000",Royal Challengers Bangalore
Yuzvendra Singh Chahal,Bowler,"6,00,00,000",Royal Challengers Bangalore
Umesh Yadav,Bowler,"4,20,00,000",Royal Challengers Bangalore
Brendon McCullum,Batsman,"3,60,00,000",Royal Challengers Bangalore
M.S. Washington Sundar,All-Rounder,"3,20,00,000",Royal Challengers Bangalore
Navdeep Saini,Bowler,"3,00,00,000",Royal Challengers Bangalore
Quinton De Kock,Wicket Keeper,"2,80,00,000",Royal Challengers Bangalore
Mohammed Siraj,Bowler,"2,60,00,000",Royal Challengers Bangalore
Nathan Coulter-Nile,Bowler,"2,20,00,000",Royal Challengers Bangalore
Colin De Grandhomme,All-Rounder,"2,20,00,000",Royal Challengers Bangalore
M. Ashwin,Bowler,"2,20,00,000",Royal Challengers Bangalore
Parthiv Patel,Wicket Keeper,"1,70,00,000",Royal Challengers Bangalore
Moeen Ali,All-Rounder,"1,70,00,000",Royal Challengers Bangalore
Mandeep Singh,All-Rounder,"1,40,00,000",Royal Challengers Bangalore
Manan Vohra,Batsman,"1,10,00,000",Royal Challengers Bangalore
Pawan Negi,All-Rounder,"1,00,00,000",Royal Challengers Bangalore
Tim Southee,Bowler,"1,00,00,000",Royal Challengers Bangalore
Kulwant Khejroliya,Bowler,"85,00,000",Royal Challengers Bangalore
Aniket Choudhary,Bowler,"30,00,000",Royal Challengers Bangalore
Pavan Deshpande,All-Rounder,"20,00,000",Royal Challengers Bangalore
Anirudha Ashok Joshi,All-Rounder,"20,00,000",Royal Challengers Bangalore
Manish Pandey,Batsman,"11,00,00,000",Sunrisers Hyderabad
Rashid Khan Arman,Bowler,"9,00,00,000",Sunrisers Hyderabad
Shikhar Dhawan,Batsman,"5,20,00,000",Sunrisers Hyderabad
Wriddhiman Saha,Wicket Keeper,"5,00,00,000",Sunrisers Hyderabad
Siddarth Kaul,Bowler,"3,80,00,000",Sunrisers Hyderabad
Deepak Hooda,All-Rounder,"3,60,00,000",Sunrisers Hyderabad
Syed Khaleel Ahmed,Bowler,"3,00,00,000",Sunrisers Hyderabad
Sandeep Sharma,Bowler,"3,00,00,000",Sunrisers Hyderabad
Kane Williamson,Batsman,"3,00,00,000",Sunrisers Hyderabad
Carlos Brathwaite,All-Rounder,"2,00,00,000",Sunrisers Hyderabad
Shakib Al Hasan,All-Rounder,"2,00,00,000",Sunrisers Hyderabad
Yusuf Pathan,All-Rounder,"1,90,00,000",Sunrisers Hyderabad
Shreevats Goswami,Wicket Keeper,"1,00,00,000",Sunrisers Hyderabad
Mohammad Nabi,All-Rounder,"1,00,00,000",Sunrisers Hyderabad
Chris Jordan,All-Rounder,"1,00,00,000",Sunrisers Hyderabad
Basil Thampi,Bowler,"95,00,000",Sunrisers Hyderabad
Billy Stanlake,Batsman,"50,00,000",Sunrisers Hyderabad
T Natarajan,Bowler,"40,00,000",Sunrisers Hyderabad
Sachin Baby,Batsman,"20,00,000",Sunrisers Hyderabad
Bipul Sharma,All-Rounder,"20,00,000",Sunrisers Hyderabad
Syed Mehdi Hasan,All-Rounder,"20,00,000",Sunrisers Hyderabad
Ricky Bhui,Batsman,"20,00,000",Sunrisers Hyderabad
Tanmay Agarwal,Batsman,"20,00,000",Sunrisers Hyderabad
