PLAYER,TYPE,PRICE PAID,TEAM
Patrick Cummins,Bowler,"1,00,00,000",Kolkata Knight Riders
Ryan Ten Doeschate,All-Rounder,"1,00,00,000",Kolkata Knight Riders
Suryakumar Yadav,Batsman,"70,00,000",Kolkata Knight Riders
Andre Russell,All-Rounder,"60,00,000",Kolkata Knight Riders
Manvinder Bisla,Wicket Keeper,"60,00,000",Kolkata Knight Riders
Veer Pratap Singh,Bowler,"40,00,000",Kolkata Knight Riders
Kuldeep Singh Yadav,Bowler,"40,00,000",Kolkata Knight Riders
Debabrata Das,Wicket Keeper,"20,00,000",Kolkata Knight Riders
Sayan Sekhar Mandal,All-Rounder,"10,00,000",Kolkata Knight Riders
Michael Hussey,Batsman,"5,00,00,000",Mumbai Indians
Corey Anderson,All-Rounder,"4,50,00,000",Mumbai Indians
Pragyan Ojha,Bowler,"3,25,00,000",Mumbai Indians
Zaheer Khan,Bowler,"2,60,00,000",Mumbai Indians
Aditya Tare,Wicket Keeper,"1,60,00,000",Mumbai Indians
Jasprit Bumrah,Bowler,"1,20,00,000",Mumbai Indians
Jalaj Saxena,All-Rounder,"90,00,000",Mumbai Indians
Josh Hazlewood,Bowler,"50,00,000",Mumbai Indians
Marchant De Lange,Bowler,"30,00,000",Mumbai Indians
Krismar Santokie,Bowler,"30,00,000",Mumbai Indians
Ben Dunk,Wicket Keeper,"20,00,000",Mumbai Indians
C.M. Gautam,Wicket Keeper,"20,00,000",Mumbai Indians
Apoorv Vijay Wankhade,Batsman,"10,00,000",Mumbai Indians
Pawan Suyal,Bowler,"10,00,000",Mumbai Indians
Sushant Marathe,Wicket Keeper,"10,00,000",Mumbai Indians
Shreyas Gopal,Bowler,"10,00,000",Mumbai Indians
Steven Smith,All-Rounder,"4,00,00,000",Rajasthan Royals
Brad Hodge,Batsman,"2,40,00,000",Rajasthan Royals
Rajat Bhatia,All-Rounder,"1,70,00,000",Rajasthan Royals
Tim Southee,Bowler,"1,20,00,000",Rajasthan Royals
Dhawal Kulkarni,Bowler,"1,10,00,000",Rajasthan Royals
Abhishek Nayar,All-Rounder,"1,00,00,000",Rajasthan Royals
Kane Richardson,Bowler,"1,00,00,000",Rajasthan Royals
Ben Cutting,Bowler,"80,00,000",Rajasthan Royals
Karun Nair,Batsman,"75,00,000",Rajasthan Royals
Unmukt Chand,Batsman,"65,00,000",Rajasthan Royals
Iqbal Abdullah,All-Rounder,"65,00,000",Rajasthan Royals
Deepak Hooda,Bowler,"40,00,000",Rajasthan Royals
Dishant Yagnik,Wicket Keeper,"30,00,000",Rajasthan Royals
Kevon Cooper,All-Rounder,"30,00,000",Rajasthan Royals
Vikramjeet Malik,Bowler,"20,00,000",Rajasthan Royals
Ankit Nagendra Sharma,Bowler,"10,00,000",Rajasthan Royals
Rahul Tewatia,All-Rounder,"10,00,000",Rajasthan Royals
Ankush Bains,Wicket Keeper,"10,00,000",Rajasthan Royals
Amit Mishra,Bowler,"10,00,000",Rajasthan Royals
Pravin Tambe,Bowler,"10,00,000",Rajasthan Royals
Yuvraj Singh,All-Rounder,"14,00,00,000",Royal Challengers Bangalore
Mitchell Starc,Bowler,"5,00,00,000",Royal Challengers Bangalore
Albie Morkel,All-Rounder,"2,40,00,000",Royal Challengers Bangalore
Varun Aaron,Bowler,"2,00,00,000",Royal Challengers Bangalore
Ashok Dinda,Bowler,"1,50,00,000",Royal Challengers Bangalore
Parthiv Patel,Wicket Keeper,"1,40,00,000",Royal Challengers Bangalore
Muttiah Muralitharan,Bowler,"1,00,00,000",Royal Challengers Bangalore
Ravi Rampaul,Bowler,"90,00,000",Royal Challengers Bangalore
Nic Maddinson,Batsman,"50,00,000",Royal Challengers Bangalore
Harshal Patel,Bowler,"40,00,000",Royal Challengers Bangalore
Vijay Zol,Batsman,"30,00,000",Royal Challengers Bangalore
Abu Nechim Ahmed,Bowler,"30,00,000",Royal Challengers Bangalore
Sachin Rana,Bowler,"20,00,000",Royal Challengers Bangalore
Shadab Jakati,Bowler,"20,00,000",Royal Challengers Bangalore
Sandeep Warrier,Bowler,"10,00,000",Royal Challengers Bangalore
Tanmay Mishra,Batsman,"10,00,000",Royal Challengers Bangalore
Yogesh Takawale,Wicket Keeper,"10,00,000",Royal Challengers Bangalore
Yuzvendra Singh Chahal,Bowler,"10,00,000",Royal Challengers Bangalore
David Warner,Batsman,"5,50,00,000",Sunrisers Hyderabad
Amit Mishra,Bowler,"4,75,00,000",Sunrisers Hyderabad
Bhuvneshwar Kumar,Bowler,"4,25,00,000",Sunrisers Hyderabad
Aaron Finch,Batsman,"4,00,00,000",Sunrisers Hyderabad
Karn Sharma,Bowler,"3,75,00,000",Sunrisers Hyderabad
Darren Sammy,All-Rounder,"3,50,00,000",Sunrisers Hyderabad
Ishant Sharma,Bowler,"2,60,00,000",Sunrisers Hyderabad
Irfan Pathan,All-Rounder,"2,40,00,000",Sunrisers Hyderabad
Moises Henriques,All-Rounder,"1,00,00,000",Sunrisers Hyderabad
KL Rahul,Batsman,"1,00,00,000",Sunrisers Hyderabad
Parveez Rasool,All-Rounder,"95,00,000",Sunrisers Hyderabad
Jason Holder,Bowler,"75,00,000",Sunrisers Hyderabad
Venugopal Rao,Batsman,"55,00,000",Sunrisers Hyderabad
Naman Ojha,Wicket Keeper,"50,00,000",Sunrisers Hyderabad
Brendan Taylor,Wicket Keeper,"30,00,000",Sunrisers Hyderabad
Prasanth Parameswaran,Bowler,"30,00,000",Sunrisers Hyderabad
Amit Paunikar,Wicket Keeper,"20,00,000",Sunrisers Hyderabad
Ashish Reddy,Bowler,"20,00,000",Sunrisers Hyderabad
Srikkanth Anirudha,Batsman,"20,00,000",Sunrisers Hyderabad
Ricky Bhui,Batsman,"10,00,000",Sunrisers Hyderabad
Chama Milind,Bowler,"10,00,000",Sunrisers Hyderabad
Manprit Juneja,Batsman,"10,00,000",Sunrisers Hyderabad
