PLAYER,NATIONALITY,TYPE,PRICE PAID,TEAM
Lockie Ferguson,Overseas,Bowler,"10,00,00,000",Gujarat Titans
Abhinav Sadarangani,Indian,Batsman,"2,60,00,000",Gujarat Titans
Rahul Tewatia,Indian,All-Rounder,"9,00,00,000",Gujarat Titans
Noor  Ahmad,Overseas,Bowler,"30,00,000",Gujarat Titans
R. Sai Kishore,Indian,Bowler,"3,00,00,000",Gujarat Titans
Dominic Drakes,Overseas,All-Rounder,"1,10,00,000",Gujarat Titans
Vijay Shankar,Indian,All-Rounder,"1,40,00,000",Gujarat Titans
Jayant Yadav,Indian,All-Rounder,"1,70,00,000",Gujarat Titans
Darshan Nalkande,Indian,All-Rounder,"20,00,000",Gujarat Titans
Yash  Dayal,Indian,Bowler,"3,20,00,000",Gujarat Titans
B. Sai Sudharsan,Indian,All-Rounder,"20,00,000",Gujarat Titans
Gurkeerat Singh,Indian,All-Rounder,"50,00,000",Gujarat Titans
Alzarri Joseph,Overseas,Bowler,"2,40,00,000",Gujarat Titans
Varun Aaron,Indian,Bowler,"50,00,000",Gujarat Titans
Pradeep Sangwan,Indian,All-Rounder,"20,00,000",Gujarat Titans
Pat Cummins,Overseas,All-Rounder,"7,25,00,000",Kolkata Knight Riders
Shreyas Iyer,Indian,Batsman,"12,25,00,000",Kolkata Knight Riders
Mohammad  Nabi,Overseas,All-Rounder,"1,00,00,000",Kolkata Knight Riders
Nitish Rana,Indian,All-Rounder,"8,00,00,000",Kolkata Knight Riders
Sam Billings,Overseas,Wicket Keeper,"2,00,00,000",Kolkata Knight Riders
Umesh Yadav,Indian,Bowler,"2,00,00,000",Kolkata Knight Riders
Shivam  Mavi,Indian,All-Rounder,"7,25,00,000",Kolkata Knight Riders
Sheldon Jackson,Indian,Wicket Keeper,"60,00,000",Kolkata Knight Riders
Ajinkya Rahane,Indian,Batsman,"1,00,00,000",Kolkata Knight Riders
Rinku Singh,Indian,Batsman,"55,00,000",Kolkata Knight Riders
Anukul Roy,Indian,All-Rounder,"20,00,000",Kolkata Knight Riders
Alex Hales,Overseas,Batsman,"1,50,00,000",Kolkata Knight Riders
Rasikh Dar,Indian,Bowler,"20,00,000",Kolkata Knight Riders
Tim Southee,Overseas,Bowler,"1,50,00,000",Kolkata Knight Riders
Baba Indrajith,Indian,Wicket Keeper,"20,00,000",Kolkata Knight Riders
Chamika Karunaratne,Overseas,All-Rounder,"50,00,000",Kolkata Knight Riders
Abhijeet Tomar,Indian,Batsman,"40,00,000",Kolkata Knight Riders
Aman Khan,Indian,All-Rounder,"20,00,000",Kolkata Knight Riders
Ramesh Kumar,Indian,Batsman,"20,00,000",Kolkata Knight Riders
Pratham Singh,Indian,Batsman,"20,00,000",Kolkata Knight Riders
Ashok Sharma,Indian,Bowler,"55,00,000",Kolkata Knight Riders
Quinton De Kock,Overseas,Wicket Keeper,"6,75,00,000",Lucknow Super Giants
Manish Pandey,Indian,Batsman,"4,60,00,000",Lucknow Super Giants
Krunal Pandya,Indian,All-Rounder,"8,25,00,000",Lucknow Super Giants
Mark Wood,Overseas,Bowler,"7,50,00,000",Lucknow Super Giants
Avesh Khan,Indian,Bowler,"10,00,00,000",Lucknow Super Giants
Ankit Singh Rajpoot,Indian,Bowler,"50,00,000",Lucknow Super Giants
K. Gowtham,Indian,All-Rounder,"90,00,000",Lucknow Super Giants
Dushmanta Chameera,Overseas,Bowler,"2,00,00,000",Lucknow Super Giants
Shahbaz Nadeem,Indian,Bowler,"50,00,000",Lucknow Super Giants
Manan Vohra,Indian,Batsman,"20,00,000",Lucknow Super Giants
Evin Lewis,Overseas,Batsman,"2,00,00,000",Lucknow Super Giants
Mohsin Khan,Indian,Bowler,"20,00,000",Lucknow Super Giants
Mayank Yadav,Indian,Bowler,"20,00,000",Lucknow Super Giants
Ayush Badoni,Indian,All-Rounder,"20,00,000",Lucknow Super Giants
Kyle Mayers,Overseas,All-Rounder,"50,00,000",Lucknow Super Giants
Karan Sharma,Indian,All-Rounder,"20,00,000",Lucknow Super Giants
Jason Holder,Overseas,All-Rounder,"8,75,00,000",Lucknow Super Giants
Deepak Hooda,Indian,All-Rounder,"5,75,00,000",Lucknow Super Giants
Ishan Kishan,Indian,Wicket Keeper,"15,25,00,000",Mumbai Indians
Dewald Brevis,Overseas,Batsman,"3,00,00,000",Mumbai Indians
Anmolpreet Singh,Indian,Batsman,"20,00,000",Mumbai Indians
Basil Thampi,Indian,Bowler,"30,00,000",Mumbai Indians
Murugan Ashwin,Indian,Bowler,"1,60,00,000",Mumbai Indians
Jaydev Unadkat,Indian,Bowler,"1,30,00,000",Mumbai Indians
Mayank Markande,Indian,Bowler,"65,00,000",Mumbai Indians
N. Tilak Varma,Indian,All-Rounder,"1,70,00,000",Mumbai Indians
Sanjay Yadav,Indian,All-Rounder,"50,00,000",Mumbai Indians
Jofra Archer,Overseas,All-Rounder,"8,00,00,000",Mumbai Indians
Daniel Sams,Overseas,All-Rounder,"2,60,00,000",Mumbai Indians
Tymal Mills,Overseas,Bowler,"1,50,00,000",Mumbai Indians
Tim David,Overseas,All-Rounder,"8,25,00,000",Mumbai Indians
Ramandeep  Singh,Indian,All-Rounder,"20,00,000",Mumbai Indians
Aryan Juyal,Indian,Wicket Keeper,"20,00,000",Mumbai Indians
Fabian Allen,Overseas,All-Rounder,"75,00,000",Mumbai Indians
Riley Meredith,Overseas,Bowler,"1,00,00,000",Mumbai Indians
Rahul Buddhi,Indian,Batsman,"20,00,000",Mumbai Indians
Hrithik Shokeen,Indian,All-Rounder,"20,00,000",Mumbai Indians
Mohd. Arshad Khan,Indian,All-Rounder,"20,00,000",Mumbai Indians
Arjun  Tendulkar,Indian,All-Rounder,"30,00,000",Mumbai Indians
Shikhar Dhawan,Indian,Batsman,"8,25,00,000",Punjab Kings
Kagiso Rabada,Overseas,Bowler,"9,25,00,000",Punjab Kings
Jonny Bairstow,Overseas,Wicket Keeper,"6,75,00,000",Punjab Kings
Rahul Chahar,Indian,Bowler,"5,25,00,000",Punjab Kings
Harpreet  Brar,Indian,All-Rounder,"3,80,00,000",Punjab Kings
Shahrukh Khan,Indian,All-Rounder,"9,00,00,000",Punjab Kings
Jitesh Sharma,Indian,Wicket Keeper,"20,00,000",Punjab Kings
Prabhsimran Singh,Indian,Wicket Keeper,"60,00,000",Punjab Kings
Ishan Porel,Indian,Bowler,"25,00,000",Punjab Kings
Liam Livingstone,Overseas,All-Rounder,"11,50,00,000",Punjab Kings
Odean Smith,Overseas,All-Rounder,"6,00,00,000",Punjab Kings
Sandeep Sharma,Indian,Bowler,"50,00,000",Punjab Kings
Raj Angad Bawa,Indian,All-Rounder,"2,00,00,000",Punjab Kings
Rishi Dhawan,Indian,All-Rounder,"55,00,000",Punjab Kings
Nathan Ellis,Overseas,Bowler,"75,00,000",Punjab Kings
Prerak Mankad,Indian,All-Rounder,"20,00,000",Punjab Kings
Atharva Taide,Indian,All-Rounder,"20,00,000",Punjab Kings
Vaibhav Arora,Indian,Bowler,"2,00,00,000",Punjab Kings
Bhanuka Rajapaksa,Overseas,Batsman,"50,00,000",Punjab Kings
Benny Howell,Overseas,All-Rounder,"40,00,000",Punjab Kings
Writtick Chatterjee,Indian,All-Rounder,"20,00,000",Punjab Kings
Baltej Dhanda,Indian,Bowler,"20,00,000",Punjab Kings
Ansh Patel,Indian,All-Rounder,"20,00,000",Punjab Kings
R. Ashwin,Indian,All-Rounder,"5,00,00,000",Rajasthan Royals
Trent Boult,Overseas,Bowler,"8,00,00,000",Rajasthan Royals
Shimron Hetmyer,Overseas,Batsman,"8,50,00,000",Rajasthan Royals
Devdutt Padikkal,Indian,Batsman,"7,75,00,000",Rajasthan Royals
Prasidh Krishna,Indian,Bowler,"10,00,00,000",Rajasthan Royals
Yuzvendra Chahal,Indian,Bowler,"6,50,00,000",Rajasthan Royals
Riyan Parag,Indian,All-Rounder,"3,80,00,000",Rajasthan Royals
K.C Cariappa,Indian,Bowler,"30,00,000",Rajasthan Royals
James Neesham,Overseas,All-Rounder,"1,50,00,000",Rajasthan Royals
Nathan Coulter-Nile,Overseas,Bowler,"2,00,00,000",Rajasthan Royals
Navdeep Saini,Indian,Bowler,"2,60,00,000",Rajasthan Royals
Kuldeep  Sen,Indian,Bowler,"20,00,000",Rajasthan Royals
Karun Nair,Indian,Batsman,"1,40,00,000",Rajasthan Royals
Rassie Van Der Dussen,Overseas,Batsman,"1,00,00,000",Rajasthan Royals
Daryl Mitchell,Overseas,All-Rounder,"75,00,000",Rajasthan Royals
Obed Mccoy,Overseas,Bowler,"75,00,000",Rajasthan Royals
Dhruv Jurel,Indian,Wicket Keeper,"20,00,000",Rajasthan Royals
Tejas Baroka,Indian,Bowler,"20,00,000",Rajasthan Royals
Kuldip Yadav,Indian,Bowler,"20,00,000",Rajasthan Royals
Shubham Garhwal,Indian,All-Rounder,"20,00,000",Rajasthan Royals
Anunay Singh,Indian,All-Rounder,"20,00,000",Rajasthan Royals
Faf Du Plessis,Overseas,Batsman,"7,00,00,000",Royal Challengers Bangalore
Wanindu Hasaranga,Overseas,All-Rounder,"10,75,00,000",Royal Challengers Bangalore
Harshal Patel,Indian,All-Rounder,"10,75,00,000",Royal Challengers Bangalore
Dinesh  Karthik,Indian,Wicket Keeper,"5,50,00,000",Royal Challengers Bangalore
Josh Hazlewood,Overseas,Bowler,"7,75,00,000",Royal Challengers Bangalore
Shahbaz Ahamad,Indian,All-Rounder,"2,40,00,000",Royal Challengers Bangalore
Anuj Rawat,Indian,Wicket Keeper,"3,40,00,000",Royal Challengers Bangalore
Akash  Deep,Indian,Bowler,"20,00,000",Royal Challengers Bangalore
Karn Sharma,Indian,Bowler,"50,00,000",Royal Challengers Bangalore
Mahipal Lomror,Indian,All-Rounder,"95,00,000",Royal Challengers Bangalore
Finn Allen,Overseas,Batsman,"80,00,000",Royal Challengers Bangalore
Sherfane Rutherford,Overseas,All-Rounder,"1,00,00,000",Royal Challengers Bangalore
Jason Behrendorff,Overseas,Bowler,"75,00,000",Royal Challengers Bangalore
Siddharth  Kaul,Indian,Bowler,"75,00,000",Royal Challengers Bangalore
Suyash Prabhudessai,Indian,All-Rounder,"30,00,000",Royal Challengers Bangalore
Luvnith Sisodia,Indian,Wicket Keeper,"20,00,000",Royal Challengers Bangalore
Chama Milind,Indian,Bowler,"25,00,000",Royal Challengers Bangalore
Aneeshwar Gautam,Indian,All-Rounder,"20,00,000",Royal Challengers Bangalore
David Willey,Overseas,All-Rounder,"2,00,00,000",Royal Challengers Bangalore
Washington Sundar,Indian,All-Rounder,"8,75,00,000",Sunrisers Hyderabad
Nicholas Pooran,Overseas,Wicket Keeper,"10,75,00,000",Sunrisers Hyderabad
Bhuvneshwar Kumar,Indian,Bowler,"4,20,00,000",Sunrisers Hyderabad
T. Natarajan,Indian,Bowler,"4,00,00,000",Sunrisers Hyderabad
Priyam  Garg,Indian,Batsman,"20,00,000",Sunrisers Hyderabad
Rahul Tripathi,Indian,Batsman,"8,50,00,000",Sunrisers Hyderabad
Abhishek Sharma,Indian,All-Rounder,"6,50,00,000",Sunrisers Hyderabad
Vishnu Vinod,Indian,Wicket Keeper,"50,00,000",Sunrisers Hyderabad
Kartik Tyagi,Indian,Bowler,"4,00,00,000",Sunrisers Hyderabad
Shreyas Gopal,Indian,Bowler,"75,00,000",Sunrisers Hyderabad
Jagadeesha Suchith,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
Aiden Markram,Overseas,Batsman,"2,60,00,000",Sunrisers Hyderabad
Marco Jansen,Overseas,All-Rounder,"4,20,00,000",Sunrisers Hyderabad
Romario Shepherd,Overseas,All-Rounder,"7,75,00,000",Sunrisers Hyderabad
Glenn Phillips,Overseas,Wicket Keeper,"1,50,00,000",Sunrisers Hyderabad
Fazalhaq Farooqi,Overseas,Bowler,"50,00,000",Sunrisers Hyderabad
Sean Abbott,Overseas,Bowler,"2,40,00,000",Sunrisers Hyderabad
R Samarth,Indian,Batsman,"20,00,000",Sunrisers Hyderabad
Shashank Singh,Indian,All-Rounder,"20,00,000",Sunrisers Hyderabad
Saurabh Dubey,Indian,Bowler,"20,00,000",Sunrisers Hyderabad
