StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
MS Dhoni,57,14,7-7-1981,CSK,Chennai Super Kings,13,332,261,127.2,22,9,8,5,2,0,58*,41.5,India,rhb,Indian,True
Ravindra Jadeja,46,13,6-12-1988,RR,Rajasthan Royals,13,295,266,110.9,21,6,11,2,0,0,42,26.81,India,lhb,Indian,False
Brendon McCullum,0,13,27-9-1981,KKR,Kolkata Knight Riders,13,285,239,119.24,27,12,12,1,2,0,84*,23.75,New Zealand,rhb,Overseas,True
Ross Taylor,78,11,8-3-1984,RCB,Royal Challengers Bangalore,11,280,208,134.61,20,15,9,2,1,0,81*,31.11,New Zealand,rhb,Overseas,True
Rahul Dravid,0,13,11-1-1973,RCB,Royal Challengers Bangalore,12,271,234,115.81,28,3,12,0,1,0,66,22.58,India,rhb,Indian,True
Andrew Symonds,0,8,9-6-1975,DEC,Deccan Chargers,8,249,166,150.0,15,11,7,1,1,0,60*,35.57,Australia,rhb,Overseas,True
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,13,246,219,112.32,22,8,11,2,1,0,50,22.36,India,rhb,Indian,True
Yusuf Pathan,226,13,17-11-1982,RR,Rajasthan Royals,13,243,183,132.78,24,12,12,1,1,0,62*,20.25,India,rhb,Indian,True
Tirumalasetti Suman,0,12,15-12-1983,DEC,Deccan Chargers,12,237,190,124.73,18,8,10,2,0,0,41*,23.7,India,rhb,Indian,True
Sanath Jayasuriya,0,12,30-6-1969,MI,Mumbai Indians,12,221,192,115.1,23,7,12,0,2,0,52,18.41,Sri Lanka,lhb,Overseas,False
Mahela Jayawardena,0,10,27-5-1977,PBKS,Punjab Kings,10,219,165,132.72,17,7,6,4,1,0,52*,36.5,Sri Lanka,rhb,Overseas,True
