,TeamName,Matches,Wins,Loss,Tied,NoResult,Points,Draw,ForTeams,AgainstTeam,NetRunRate,IsQualified,Performance,Standings,Year
87,Rajasthan Royals,14,7,7,0,0,14,0,2130/255.3,2141/249.2,-0.25,1.0,WLWWW,4,2018
88,Mumbai Indians,14,6,8,0,0,12,0,2380/278.4,2282/277.3,0.317,0.0,LWLWW,5,2018
89,Royal Challengers Bangalore,14,6,8,0,0,12,0,2322/264.4,2383/275.4,0.129,0.0,LWWWL,6,2018
90,Punjab Kings,14,6,8,0,0,12,0,2210/268.4,2259/258.5,-0.502,0.0,LLLLL,7,2018
91,Delhi Captials,14,5,9,0,0,10,0,2297/258,2304/252.3,-0.222,0.0,WWLLL,8,2018
92,Mumbai Indians,14,9,5,0,0,18,0,2380/275.1,2282/277.2,0.421,1.0,WWLWL,1,2019
93,Chennai Super Kings,14,9,5,0,0,18,0,2043/274.1,2012/274.5,0.131,1.0,LWLWL,2,2019
94,Delhi Capitals,14,9,5,0,0,18,0,2207/272.5,2238/278.1,0.044,1.0,WLWWW,3,2019
95,Sunrisers Hyderabad,14,6,8,0,0,12,0,2288/269.2,2200/277.5,0.577,1.0,LLWLL,4,2019
96,Kolkata Knight Riders,14,6,8,0,0,12,0,2466/270.4,2419/266.2,0.028,0.0,LWWLL,5,2019
97,Punjab Kings,14,6,8,0,0,12,0,2429/276.3,2503/277,-0.251,0.0,WLLLL,6,2019
98,Rajasthan Royals,14,5,8,0,1,11,0,2153/257,2192/248.2,-0.449,0.0,LNWWL,7,2019
99,Royal Challengers Bangalore,14,5,8,0,1,11,0,2146/258.4,2266/254.3,-0.607,0.0,WNLWW,8,2019
100,Mumbai Indians,14,9,5,0,0,18,0,2378/262.2,2187/274.5,1.107,1.0,LWWLW,1,2020
101,Delhi Capitals,14,8,6,0,0,16,0,2289/278.5,2271/273,-0.109,1.0,WLLLL,2,2020
102,Sunrisers Hyderabad,14,7,7,0,0,14,0,2225/269.3,2125/277.5,0.608,1.0,WWWLW,3,2020
103,Royal Challengers Bangalore,14,7,7,0,0,14,0,2147/272.2,2183/271,-0.172,1.0,LLLLW,4,2020
104,Kolkata Knight Riders,14,7,7,0,0,14,0,2219/278,2206/269.1,-0.214,0.0,WLLWL,5,2020
105,Punjab Kings,14,6,8,0,0,12,0,2335/277.5,2343/273.3,-0.162,0.0,LLWWW,6,2020
106,Chennai Super Kings,14,6,8,0,0,12,0,2191/274.3,2275/269.4,-0.455,0.0,WWWLL,7,2020
107,Rajasthan Royals,14,6,8,0,0,12,0,2288/272.4,2482/277,-0.569,0.0,LWWLW,8,2020
108,Delhi Capitals,14,10,4,0,0,20,0,2180/267,2136/278,0.481,1.0,LWWLW,1,2021
109,Chennai Super Kings,14,9,5,0,0,18,0,2368/272,2218/268.5,0.455,1.0,LLLWW,2,2021
110,Royal Challengers Bangalore,14,9,5,0,0,18,0,2165/273.4,2159/268.1,-0.14,1.0,WLWWW,3,2021
111,Kolkata Knight Riders,14,7,7,0,0,14,0,2119/259.5,2080/274.5,0.587,1.0,WWLWL,4,2021
112,Mumbai Indians,14,7,7,0,0,14,0,2117/265.5,2128/271.1,0.116,0.0,WWLWL,5,2021
113,Punjab Kings,14,6,8,0,0,12,0,2150/270.1,2117/266,-0.001,0.0,WLWLW,6,2021
114,Rajasthan Royals,14,5,9,0,0,10,0,2196/276,2318/259,-0.993,0.0,LLWLL,7,2021
115,Sunrisers Hyderabad,14,3,11,0,0,6,0,2077/277.1,2216/275.4,-0.545,0.0,LWLLW,8,2021
116,Gujarat Titans,14,10,4,0,0,20,0,2339/278.1,2216/273.5,0.316,1.0,"L,L,W,W,L",1,2022
117,Rajasthan Royals,14,9,5,0,0,18,0,2464/279.2,2351/275.5,0.298,1.0,"L,W,L,W,W",2,2022
118,Lucknow Super Giants,14,9,5,0,0,18,0,2355/279.1,2289/279.4,0.251,1.0,"W,W,L,L,W",3,2022
119,Royal Challengers Bangalore,14,8,6,0,0,16,0,2268/275.4,2260/266.3,-0.253,1.0,"L,W,W,L,W",4,2022
120,Delhi Capitals,14,7,7,0,0,14,0,2341/266.0,2397/278.5,0.204,0.0,"W,L,W,W,L",5,2022
121,Punjab Kings,14,7,7,0,0,14,0,2343/270.1,2252/263.3,0.126,0.0,"W,L,W,L,W",6,2022
122,Kolkata Knight Riders,14,6,8,0,0,12,0,2223/268.1,2249/276.1,0.146,0.0,"W,L,W,W,L",7,2022
123,Sunrisers Hyderabad,14,6,8,0,0,12,0,2197/261.3,2416/275.1,-0.379,0.0,"L,L,L,W,L",8,2022
124,Chennai Super Kings,14,4,10,0,0,8,0,2288/280.0,2254/269.1,-0.203,0.0,"L,W,L,L,L",9,2022
125,Mumbai Indians,14,4,10,0,0,8,0,2217/273.2,2351/272.5,-0.506,0.0,"W,L,W,L,W",10,2022
126,Gujarat Titans,14,10,4,0,0,20,0,2450/268.1,2326/279.2,0.809,1.0,"W,W,L,W,W",1,2023
127,Chennai Super Kings,14,8,5,0,1,17,0,2369/254.3,2232/257.5,0.652,1.0,"N,W,W,L,W",2,2023
128,Lucknow Super Giants,14,8,5,0,1,17,0,2253/255.2,2216/259.3,0.284,1.0,"N,L,W,W,W",3,2023
129,Mumbai Indians,14,8,6,0,0,16,0,2592/270.3,2620/272.1,-0.044,1.0,"L,W,W,L,W",4,2023
130,Rajasthan Royals,14,7,7,0,0,14,0,2419/272.1,2389/273.2,0.148,0.0,"L,L,W,L,W",5,2023
131,Royal Challengers Bangalore,14,7,7,0,0,14,0,2502/275.4,2435/272.2,0.135,0.0,"L,L,W,W,L",6,2023
132,Kolkata Knight Riders,14,6,8,0,0,12,0,2463/274.3,2432/264.0,-0.239,0.0,"W,W,L,W,L",7,2023
133,Punjab Kings,14,6,8,0,0,12,0,2518/275.3,2564/271.3,-0.304,0.0,"L,L,W,L,L",8,2023
134,Delhi Capitals,14,5,9,0,0,10,0,2182/276.0,2424/278.1,-0.808,0.0,"W,L,L,W,L",9,2023
135,Sunrisers Hyderabad,14,4,10,0,0,8,0,2376/277.1,2486/271.2,-0.59,0.0,"W,L,L,L,L",10,2023
