MatchRow,TossTeam,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Year,MatchName1,MatchName2,Winner,WinDetails,Runs1,Wickets1,Overs1,Runs2,Wickets2,Overs2
7.0,Lucknow Super Giants,Lucknow Super Giants,Chennai Super Kings,210/7 (20.0 Overs),Chennai Super Kings,0.0,0.0,211/4 (19.3 Overs),Lucknow Super Giants,Brabourne Stadium,Mumbai,2022-03-31T19:30:00,19:30,2022-03-31,23:30,2022,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,won by 6  wickets,210.0,7.0,20.0,211.0,4.0,19.3
6.0,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,128/10 (18.5 Overs),Kolkata Knight Riders,0.0,0.0,132/7 (19.2 Overs),Royal Challengers Bangalore,DY Patil Stadium,Navi Mumbai,2022-03-30T19:30:00,19:30,2022-03-30,23:30,2022,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,won by 3  wickets,128.0,10.0,18.5,132.0,7.0,19.2
5.0,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,210/6 (20.0 Overs),Rajasthan Royals,0.0,0.0,149/7 (20.0 Overs),Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,2022-03-29T19:30:00,19:30,2022-03-29,23:30,2022,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,won by 61  runs,210.0,6.0,20.0,149.0,7.0,20.0
4.0,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,158/6 (20.0 Overs),Lucknow Super Giants,0.0,0.0,161/5 (19.4 Overs),Gujarat Titans,Wankhede Stadium,Mumbai,2022-03-28T19:30:00,19:30,2022-03-28,23:30,2022,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,won by 5  wickets,158.0,6.0,20.0,161.0,5.0,19.4
3.0,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,205/2 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,208/5 (19.0 Overs),Punjab Kings,DY Patil Stadium,Navi Mumbai,2022-03-27T19:30:00,19:30,2022-03-27,23:30,2022,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,won by 5   wickets,205.0,2.0,20.0,208.0,5.0,19.0
2.0,Delhi Capitals,Delhi Capitals,Mumbai Indians,177/5 (20.0 Overs),Mumbai Indians,0.0,0.0,179/6 (18.2 Overs),Delhi Capitals,Brabourne Stadium,Mumbai,2022-03-27T15:30:00,15:30,2022-03-27,19:30,2022,Delhi Capitals,Mumbai Indians,Delhi Capitals,won by 4  wickets,177.0,5.0,20.0,179.0,6.0,18.2
1.0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,131/5 (20.0 Overs),Chennai Super Kings,0.0,0.0,133/4 (18.3 Overs),Kolkata Knight Riders,Wankhede Stadium,Mumbai,2022-03-26T19:30:00,19:30,2022-03-26,23:30,2022,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,won by 6  wickets,131.0,5.0,20.0,133.0,4.0,18.3
74.0,Chennai Super Kings,Chennai Super Kings,Gujarat Titans,214/4 (20.0 Overs),Gujarat Titans,15.0,171.0,171/5 (15.0 Overs),Chennai Super Kings,Narendra Modi Stadium,Ahmedabad,2023-05-29,19:30,2023-05-30,23:30,2023,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,won by 5   wickets   (d/l method) (winners),214.0,4.0,20.0,171.0,5.0,15.0
73.0,Mumbai Indians,Gujarat Titans,Mumbai Indians,233/3 (20.0 Overs),Gujarat Titans,0.0,0.0,171/10 (18.2 Overs),Mumbai Indians,Narendra Modi Stadium,Ahmedabad,2023-05-26,19:30,2023-05-26,23:30,2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,won by 62  runs (qualified),233.0,3.0,20.0,171.0,10.0,18.2
72.0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,182/8 (20.0 Overs),Mumbai Indians,0.0,0.0,101/10 (16.3 Overs),Lucknow Super Giants,M. A. Chidambaram Stadium,Chennai,2023-05-24,19:30,2023-05-24,23:30,2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,won by 81  runs (qualified),182.0,8.0,20.0,101.0,10.0,16.3
71.0,Gujarat Titans,Gujarat Titans,Chennai Super Kings,172/7 (20.0 Overs),Chennai Super Kings,0.0,0.0,157/10 (20.0 Overs),Gujarat Titans,M. A. Chidambaram Stadium,Chennai,2023-05-23,19:30,2023-05-23,23:30,2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,won by 15   runs (qualified),172.0,7.0,20.0,157.0,10.0,20.0
70.0,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,197/5 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,198/4 (19.1 Overs),Gujarat Titans,M. Chinnaswamy Stadium,Bengaluru,2023-05-21,19:30,2023-05-21,23:00,2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,won by 6  wickets,197.0,5.0,20.0,198.0,4.0,19.1
69.0,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,200/5 (20.0 Overs),Sunrisers Hyderabad,0.0,0.0,201/2 (18.0 Overs),Mumbai Indians,Wankhede Stadium,Mumbai,2023-05-21,15:30,2023-05-21,23:00,2023,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,won by 8  wickets,200.0,5.0,20.0,201.0,2.0,18.0
68.0,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,176/8 (20.0 Overs),Lucknow Super Giants,0.0,0.0,175/7 (20.0 Overs),Kolkata Knight Riders,Eden Gardens,Kolkata,2023-05-20,19:30,2023-05-20,23:00,2023,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,won by 1  run,176.0,8.0,20.0,175.0,7.0,20.0
67.0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,223/3 (20.0 Overs),Chennai Super Kings,0.0,0.0,146/9 (20.0 Overs),Delhi Capitals,Arun Jaitley Stadium,Delhi,2023-05-20,15:30,2023-05-20,23:00,2023,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,won by 77  runs,223.0,3.0,20.0,146.0,9.0,20.0
66.0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,187/5 (20.0 Overs),Punjab Kings,0.0,0.0,189/6 (19.4 Overs),Rajasthan Royals,Himachal Pradesh Cricket Association Stadium,Dharamsala,2023-05-19,19:30,2023-05-19,23:00,2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,won by 4  wickets,187.0,5.0,20.0,189.0,6.0,19.4
65.0,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,186/5 (20.0 Overs),Sunrisers Hyderabad,0.0,0.0,187/2 (19.2 Overs),Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Hyderabad,2023-05-18,19:30,2023-05-18,23:00,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,won by 8  wickets,186.0,5.0,20.0,187.0,2.0,19.2
64.0,Punjab Kings,Punjab Kings,Delhi Capitals,213/2 (20.0 Overs),Delhi Capitals,0.0,0.0,198/8 (20.0 Overs),Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2023-05-17,19:30,2023-05-17,23:00,2023,Punjab Kings,Delhi Capitals,Delhi Capitals,won by 15  runs,213.0,2.0,20.0,198.0,8.0,20.0
63.0,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,177/3 (20.0 Overs),Lucknow Super Giants,0.0,0.0,172/5 (20.0 Overs),Mumbai Indians,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,2023-05-16,19:30,2023-05-16,23:00,2023,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,won by 5  runs,177.0,3.0,20.0,172.0,5.0,20.0
62.0,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,188/9 (20.0 Overs),Gujarat Titans,0.0,0.0,154/9 (20.0 Overs),Sunrisers Hyderabad,Narendra Modi Stadium,Ahmedabad,2023-05-15,19:30,2023-05-15,23:00,2023,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,won by 34  runs,188.0,9.0,20.0,154.0,9.0,20.0
61.0,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,144/6 (20.0 Overs),Chennai Super Kings,0.0,0.0,147/4 (18.3 Overs),Kolkata Knight Riders,M. A. Chidambaram Stadium,Chennai,2023-05-14,19:30,2023-05-14,23:00,2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,won by 6  wickets,144.0,6.0,20.0,147.0,4.0,18.3
60.0,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,171/5 (20.0 Overs),Royal Challengers Bangalore,0.0,0.0,59/10 (10.3 Overs),Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2023-05-14,15:30,2023-05-14,23:00,2023,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,won by 112  runs,171.0,5.0,20.0,59.0,10.0,10.3
59.0,Delhi Capitals,Delhi Capitals,Punjab Kings,167/7 (20.0 Overs),Punjab Kings,0.0,0.0,136/8 (20.0 Overs),Delhi Capitals,Arun Jaitley Stadium,Delhi,2023-05-13,19:30,2023-05-13,23:00,2023,Delhi Capitals,Punjab Kings,Punjab Kings,won by 31  runs,167.0,7.0,20.0,136.0,8.0,20.0
58.0,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,182/6 (20.0 Overs),Sunrisers Hyderabad,0.0,0.0,185/3 (19.2 Overs),Lucknow Super Giants,Rajiv Gandhi International Stadium,Hyderabad,2023-05-13,15:30,2023-05-13,23:00,2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,won by 7  wickets,182.0,6.0,20.0,185.0,3.0,19.2
57.0,Gujarat Titans,Mumbai Indians,Gujarat Titans,218/5 (20.0 Overs),Mumbai Indians,0.0,0.0,191/8 (20.0 Overs),Gujarat Titans,Wankhede Stadium,Mumbai,2023-05-12,19:30,2023-05-12,23:00,2023,Mumbai Indians,Gujarat Titans,Mumbai Indians,won by 27  runs,218.0,5.0,20.0,191.0,8.0,20.0
56.0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,149/8 (20.0 Overs),Kolkata Knight Riders,0.0,0.0,151/1 (13.1 Overs),Rajasthan Royals,Eden Gardens,Kolkata,2023-05-11,19:30,2023-05-11,23:00,2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,won by 9  wickets,149.0,8.0,20.0,151.0,1.0,13.1
