Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Andrew McDonald,1,5-6-1981,DC,Delhi Capitals,1,8,7,114.28,0,0,1,0,0,0,8,8.0,Australia,rhb,Overseas,True
Charl Langeveldt,3,17-12-1974,RCB,Royal Challengers Bangalore,1,8,8,100.0,0,1,1,0,0,0,8,8.0,South Africa,rhb,Overseas,True
Lasith Malinga,16,28-8-1983,MI,Mumbai Indians,4,8,9,88.88,0,1,3,1,0,0,7,2.66,Sri Lanka,rhb,Overseas,True
Ishan Malhotra,1,23-5-1984,DEC,Deccan Chargers,1,7,4,175.0,1,0,0,1,0,0,7*,0.0,India,rhb,Indian,True
Arun Karthik,3,15-2-1986,RCB,Royal Challengers Bangalore,2,7,8,87.5,1,0,2,0,0,0,6,3.5,India,rhb,Indian,True
Ajit Agarkar,7,4-12-1977,DC,Delhi Capitals,2,7,6,116.66,1,0,1,1,0,0,7*,7.0,India,rhb,Indian,True
Mark Boucher,4,3-12-1976,KKR,Kolkata Knight Riders,3,6,6,100.0,0,0,1,2,0,0,5,6.0,South Africa,rhb,Overseas,True
Pinal Shah,2,3-11-1987,RR,Rajasthan Royals,1,5,5,100.0,1,0,1,0,0,0,5,5.0,India,rhb,Indian,True
Scott Styris,2,10-7-1975,CSK,Chennai Super Kings,1,5,2,250.0,1,0,0,1,0,0,5*,0.0,New Zealand,rhb,Overseas,True
Muttiah Muralitharan,5,17-4-1972,KTK,Kochi Tuskers Kerala,1,5,8,62.5,0,0,0,1,0,0,5*,0.0,Sri Lanka,rhb,Overseas,True
Brett Lee,12,8-11-1976,KKR,Kolkata Knight Riders,4,5,9,55.55,0,0,3,1,0,0,2*,1.66,Australia,rhb,Overseas,True
Sridharan Sriram,1,21-2-1976,DC,Delhi Capitals,1,4,7,57.14,0,0,1,0,0,0,4,4.0,India,lhb,Indian,False
Shalabh Srivastava,6,22-9-1981,PBKS,Punjab Kings,2,4,3,133.33,0,0,0,2,0,0,3*,0.0,India,rhb,Indian,True
Ishant Sharma,12,2-9-1988,DEC,Deccan Chargers,5,4,5,80.0,0,0,0,5,0,0,1*,0.0,India,rhb,Indian,True
Lakshmipathy Balaji,14,27-9-1981,KKR,Kolkata Knight Riders,2,4,2,200.0,0,0,0,2,0,0,3*,0.0,India,rhb,Indian,True
Ryan Ninan,2,19-11-1985,RCB,Royal Challengers Bangalore,1,3,6,50.0,0,0,1,0,0,0,3,3.0,India,rhb,Indian,True
Unmukt Chand,2,26-3-1993,DC,Delhi Capitals,2,2,12,16.66,0,0,2,0,0,0,2,1.0,United States of America,rhb,Overseas,True
Ali Murtaza,5,1-1-1990,MI,Mumbai Indians,1,2,5,40.0,0,0,0,1,0,0,2*,0.0,India,lhb,Indian,False
Dhawal Kulkarni,6,10-12-1988,MI,Mumbai Indians,2,2,4,50.0,0,0,1,1,0,0,2,2.0,India,rhb,Indian,True
Shrikant Wagh,7,9-10-1988,PWI,Pune Warriors India,2,2,3,66.66,0,0,2,0,0,0,2,1.0,India,lhb,Indian,False
Suraj Randiv,8,30-1-1985,CSK,Chennai Super Kings,1,2,4,50.0,0,0,1,0,0,0,2,2.0,Sri Lanka,rhb,Overseas,True
RP Singh,14,6-12-1985,KTK,Kochi Tuskers Kerala,5,2,4,50.0,0,0,3,2,0,0,1*,0.66,India,rhb,Indian,True
Ravichandran Ashwin,16,17-9-1986,CSK,Chennai Super Kings,2,2,6,33.33,0,0,2,0,0,0,2,1.0,India,rhb,Indian,True
Ankeet Chavan,2,28-10-1985,RR,Rajasthan Royals,1,1,3,33.33,0,0,1,0,0,0,1,1.0,India,lhb,Indian,False
Umesh Yadav,7,25-10-1987,DC,Delhi Capitals,2,1,5,20.0,0,0,1,1,0,0,1*,1.0,India,rhb,Indian,True
Amit Singh,9,21-6-1981,RR,Rajasthan Royals,2,1,4,25.0,0,0,2,0,0,0,1,0.5,India,rhb,Indian,True
Shanthakumaran Sreesanth,9,6-2-1983,KTK,Kochi Tuskers Kerala,3,1,9,11.11,0,0,2,1,0,0,1,0.5,India,rhb,Indian,True
