MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
50,50th  T20,Delhi Capitals VS Chennai Super Kings,Chennai Super Kings,Delhi Capitals won by 3 wickets,Delhi Capitals,Chennai Super Kings,136/5 (20 Overs),CSK,Chennai Super Kings,,,139/7 (19.4 Overs),DC,Delhi Capitals,Dubai International Stadium,Dubai,2021-10-04 18:00:00,18:00,4 Oct 2021,23:00,Delhi Capitals
49,49th  T20,Kolkata Knight Riders VS Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders won by 6 wickets,Kolkata Knight Riders,Sunrisers Hyderabad,115/8 (20 Overs),SRH,Sunrisers Hyderabad,,,119/4 (19.4 Overs),KKR,Kolkata Knight Riders,Dubai International Stadium,Dubai,2021-10-03 18:00:00,18:00,3 Oct 2021,23:00,Kolkata Knight Riders
48,Final,Royal Challengers Bangalore VS Punjab Kings,Punjab Kings,Royal Challengers Bangalore won by 6 runs,Royal Challengers Bangalore,Punjab Kings,164/7 (20 Overs),RCB,Royal Challengers Bangalore,,,158/6 (20 Overs),PBKS,Punjab Kings,Sharjah Cricket Stadium,Sharjah,2021-10-03 14:00:00,14:00,3 Oct 2021,23:00,Royal Challengers Bangalore
47,2nd Semi-Final,Rajasthan Royals VS Chennai Super Kings,Chennai Super Kings,Rajasthan Royals won by 7 wickets,Rajasthan Royals,Chennai Super Kings,189/4 (20 Overs),CSK,Chennai Super Kings,,,190/3 (17.3 Overs),RR,Rajasthan Royals,Zayed Cricket Stadium,Abu Dhabi,2021-10-02 18:00:00,18:00,2 Oct 2021,23:00,Rajasthan Royals
46,1st Semi-Final,Mumbai Indians VS Delhi Capitals,Delhi Capitals,Delhi Capitals won by 4 wickets,Mumbai Indians,Delhi Capitals,129/8 (20 Overs),MI,Mumbai Indians,,,132/6 (19.1 Overs),DC,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,2021-10-02 14:00:00,14:00,2 Oct 2021,23:00,Delhi Capitals
45,45th  T20,Kolkata Knight Riders VS Punjab Kings,Punjab Kings,Punjab Kings won by 5 wickets,Kolkata Knight Riders,Punjab Kings,165/7 (20 Overs),KKR,Kolkata Knight Riders,,,168/5 (19.3 Overs),PBKS,Punjab Kings,Dubai International Stadium,Dubai,2021-10-01 18:00:00,18:00,1 Oct 2021,23:00,Punjab Kings
44,44th  T20,Sunrisers Hyderabad VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets,Sunrisers Hyderabad,Chennai Super Kings,134/7 (20 Overs),SRH,Sunrisers Hyderabad,,,139/4 (19.4 Overs),CSK,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,2021-09-30 18:00:00,18:00,30 Sep 2021,23:00,Chennai Super Kings
43,43rd  T20,Rajasthan Royals VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 7 wickets,Rajasthan Royals,Royal Challengers Bangalore,149/9 (20 Overs),RR,Rajasthan Royals,,,153/3 (17.1 Overs),RCB,Royal Challengers Bangalore,Dubai International Stadium,Dubai,2021-09-29 18:00:00,18:00,29 Sep 2021,23:00,Royal Challengers Bangalore
42,42nd  T20,Mumbai Indians VS Punjab Kings,Punjab Kings,Mumbai Indians won by 6 wickets,Mumbai Indians,Punjab Kings,135/6 (20 Overs),PBKS,Punjab Kings,,,137/4 (19 Overs),MI,Mumbai Indians,Zayed Cricket Stadium,Abu Dhabi,2021-09-28 18:00:00,18:00,28 Sep 2021,23:00,Mumbai Indians
41,41st T20,Kolkata Knight Riders VS Delhi Capitals,Delhi Capitals,Kolkata Knight Riders won by 3 wickets,Kolkata Knight Riders,Delhi Capitals,127/9 (20 Overs),DC,Delhi Capitals,,,130/7 (18.2 Overs),KKR,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-09-28 14:00:00,14:00,28 Sep 2021,23:00,Kolkata Knight Riders
