Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Ankit Rajpoot,False,,KKR,Kolkata Knight Riders,5,5,107,27,26.75,21.0,7.64,14,1,0,4,5/14,5/14,0,0,0,84
Lockie Ferguson,False,,LSG,Gujarat Titans,4,4,93,40,31.0,26.0,7.15,13,0,0,3,3/15,3/15,1,0,0,78
Bipul Sharma,False,,SRH,Sunrisers Hyderabad,7,7,129,28,43.0,32.66,7.89,16,2,1,3,2/13,2/13,0,0,0,96
Tim Southee,False,,MI,Mumbai Indians,3,3,96,21,32.0,20.0,9.6,10,0,1,3,3/24,3/24,1,0,0,60
Rahul Tewatia,False,,PBKS,Punjab Kings,3,3,49,23,16.33,18.0,5.44,9,4,0,3,3/18,3/18,0,0,0,54
Adam Milne,False,,RCB,Royal Challengers Bangalore,4,4,134,25,44.66,28.0,9.57,14,0,0,3,2/21,2/21,0,0,0,84
Harshal Patel,False,,RCB,Royal Challengers Bangalore,1,1,43,8,14.33,8.0,10.75,4,0,0,3,5/27,5/27,0,0,0,24
Corey Anderson,False,,DC,Delhi Capitals,11,8,186,20,62.0,37.66,9.87,19,8,9,3,2/18,2/18,0,0,0,114
Dhawal Kulkarni,False,,GL,Gujarat Lions,6,6,173,35,57.66,37.66,9.18,19,0,0,3,4/14,4/14,0,0,0,114
Iqbal Abdulla,False,,RCB,Royal Challengers Bangalore,2,2,55,6,27.5,15.0,11.0,5,0,0,2,3/24,3/24,0,0,0,30
Marcus Stoinis,False,,PBKS,Punjab Kings,5,5,110,10,55.0,31.5,10.47,10,1,0,2,4/15,4/15,0,0,0,60
Vinay Kumar,False,,MI,Mumbai Indians,1,1,31,6,15.5,9.0,10.33,3,0,0,2,4/40,4/40,0,0,0,18
Ankit Soni,False,,GL,Gujarat Lions,7,6,144,37,72.0,54.5,7.92,18,0,1,2,1/16,1/16,0,0,0,108
Mohammad Nabi,False,,SRH,Sunrisers Hyderabad,3,3,58,34,29.0,33.0,5.27,11,0,0,2,4/11,4/11,0,0,0,66
Dwayne Smith,False,,GL,Gujarat Lions,12,9,148,17,74.0,39.0,11.38,13,32,8,2,4/8,4/8,0,0,0,78
Travis Head,False,,RCB,Royal Challengers Bangalore,7,5,81,7,40.5,24.0,10.12,8,9,6,2,2/30,2/30,0,0,0,48
T Natarajan,False,,PBKS,Punjab Kings,6,6,115,24,57.5,38.0,9.07,12,0,0,2,2/24,2/24,0,0,0,72
Rahul Chahar,False,,RPS,Rising Pune Supergiant,3,2,58,17,29.0,21.0,8.28,7,0,0,2,4/27,4/27,0,0,0,42
Rajat Bhatia,False,,RPS,Rising Pune Supergiant,3,3,55,9,27.5,21.0,7.85,7,0,1,2,4/15,4/15,0,0,0,42
Billy Stanlake,False,,RCB,Royal Challengers Bangalore,2,2,70,17,35.0,24.0,8.75,8,0,0,2,2/21,2/21,0,0,0,48
Deepak Hooda,False,,SRH,Sunrisers Hyderabad,10,3,42,7,21.0,12.0,10.5,4,5,4,2,2/16,2/16,0,0,0,24
Nathu Singh,False,,GL,Gujarat Lions,2,2,15,13,15.0,24.0,3.75,4,0,0,1,1/7,1/7,0,0,0,24
Matt Henry,False,,PBKS,Punjab Kings,2,2,71,7,71.0,30.0,14.2,5,0,0,1,1/31,1/31,0,0,0,30
Yuvraj Singh,False,,SRH,Sunrisers Hyderabad,12,2,22,2,22.0,12.0,11.0,2,30,8,1,4/29,4/29,0,0,0,12
Yusuf Pathan,False,,KKR,Kolkata Knight Riders,15,4,41,8,41.0,24.0,10.25,4,9,6,1,3/20,3/20,0,0,0,24
Carlos Brathwaite,False,,DC,Delhi Capitals,2,2,67,6,67.0,36.0,11.16,6,2,0,1,3/43,3/43,0,0,0,36
Deepak Chahar,False,,RPS,Rising Pune Supergiant,3,3,74,12,74.0,42.0,10.57,7,0,2,1,4/13,4/13,0,0,0,42
Ashok Dinda,False,,RPS,Rising Pune Supergiant,3,3,119,21,119.0,60.0,11.9,10,1,0,1,4/18,4/18,0,0,0,60
Munaf Patel,False,,GL,Gujarat Lions,2,2,57,10,57.0,42.0,8.14,7,0,0,1,5/21,5/21,0,0,0,42
Shubham Agarwal,False,,GL,Gujarat Lions,1,1,42,7,42.0,24.0,10.5,4,0,0,1,1/42,1/42,0,0,0,24
Ben Cutting,False,,SRH,Sunrisers Hyderabad,4,4,123,20,123.0,76.0,9.71,12,5,3,1,2/20,2/20,0,0,0,72
Swapnil Singh,False,,PBKS,Punjab Kings,4,4,61,7,61.0,42.0,8.71,7,0,0,1,1/14,1/14,0,0,0,42
Suresh Raina,False,,GL,Gujarat Lions,14,6,102,20,102.0,72.0,8.5,12,42,13,1,2/0,2/0,0,0,0,72
Avesh Khan,False,,RCB,Royal Challengers Bangalore,1,1,23,11,23.0,24.0,5.75,4,0,0,1,3/13,3/13,0,0,0,24
Moises Henriques,False,,SRH,Sunrisers Hyderabad,12,12,248,27,248.0,144.0,10.33,24,28,4,1,3/12,3/12,0,0,0,144
