Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Fazalhaq Farooqi,True,Overseas,SRH,Sunrisers Hyderabad,4,4,117,34,29.25,20.0,8.77,13.2,18,0,4,41/2,41/2,0,0,0,80
Jason Holder,True,Overseas,RR,Rajasthan Royals,8,8,284,46,71.0,42.75,9.96,28.3,26,14,4,29/2,29/2,0,0,0,171
Mitchell Santner,False,Overseas,CSK,Chennai Super Kings,3,3,81,22,27.0,24.0,6.75,12.0,8,1,3,28/2,28/2,0,0,0,72
David Willey,False,Overseas,RCB,Royal Challengers Bangalore,4,4,105,37,35.0,30.0,7.0,15.0,10,3,3,16/2,16/2,1,0,0,90
Krishnappa Gowtham,True,Indian,LSG,Lucknow Super Giants,7,6,118,39,39.33,32.0,7.37,16.0,7,5,3,10/1,10/1,0,0,0,96
Anukul Roy,False,Indian,KKR,Kolkata Knight Riders,4,3,65,20,21.66,16.0,8.12,8.0,3,5,3,19/2,19/2,0,0,0,48
Washington Sundar,False,Indian,SRH,Sunrisers Hyderabad,7,7,146,35,48.66,35.33,8.26,17.4,12,6,3,28/3,28/3,0,0,0,106
Josh Hazlewood,False,Overseas,RCB,Royal Challengers Bangalore,3,3,76,29,25.33,18.0,8.44,9.0,8,4,3,15/2,15/2,0,0,0,54
Nitish Rana,False,Indian,KKR,Kolkata Knight Riders,14,6,75,18,25.0,17.66,8.49,8.5,7,3,3,17/2,17/2,0,0,0,53
Yudhvir Singh,True,Indian,LSG,Lucknow Super Giants,3,3,71,24,23.66,16.0,8.87,8.0,11,2,3,20/2,20/2,0,0,0,48
Glenn Maxwell,True,Overseas,RCB,Royal Challengers Bangalore,14,7,94,19,31.33,20.66,9.09,10.2,4,7,3,3/1,3/1,0,0,0,62
Hardik Pandya,True,Indian,GT,Gujarat Titans,16,11,228,63,76.0,50.0,9.12,25.0,29,11,3,10/1,10/1,0,0,0,150
Arjun Tendulkar,False,Indian,MI,Mumbai Indians,4,4,92,26,30.66,19.66,9.35,9.5,9,3,3,9/1,9/1,0,0,0,59
Hrithik Shokeen,True,Indian,MI,Mumbai Indians,8,8,187,39,62.33,38.0,9.84,19.0,14,10,3,34/2,34/2,0,0,0,114
Asif K M,True,Indian,RR,Rajasthan Royals,4,4,138,28,46.0,28.0,9.85,14.0,8,8,3,42/2,42/2,0,0,0,84
Sikandar Raza,True,Overseas,PBKS,Punjab Kings,7,6,119,20,39.66,24.0,9.91,12.0,13,4,3,19/1,19/1,0,0,0,72
Rajvardhan Hangargekar,True,Indian,CSK,Chennai Super Kings,2,2,60,14,20.0,12.0,10.0,6.0,6,2,3,36/3,36/3,0,0,0,36
Mohsin Khan,False,Indian,LSG,Lucknow Super Giants,5,4,107,23,35.66,20.0,10.7,10.0,10,7,3,24/1,24/1,0,0,0,60
Chris Jordan,True,Overseas,MI,Mumbai Indians,6,6,237,44,79.0,44.0,10.77,22.0,22,13,3,7/1,7/1,1,0,0,132
Chetan Sakariya,False,Indian,DC,Delhi Capitals,2,2,89,17,29.66,16.0,11.12,8.0,6,6,3,53/2,53/2,0,0,0,48
Navdeep Saini,True,Indian,RR,Rajasthan Royals,2,2,74,12,24.66,12.0,12.33,6.0,9,3,3,40/3,40/3,0,0,0,36
Adil Rashid,True,Indian,SRH,Sunrisers Hyderabad,2,2,56,14,28.0,21.0,8.0,7.0,3,3,2,23/2,23/2,0,0,0,42
Lalit Yadav,True,Indian,DC,Delhi Capitals,6,4,118,24,59.0,39.0,9.07,13.0,6,8,2,29/1,29/1,0,0,0,78
Jofra Archer,True,Overseas,MI,Mumbai Indians,5,5,190,49,95.0,60.0,9.5,20.0,17,11,2,35/1,35/1,0,0,0,120
