BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Jacques Kallis,,,KKR,Kolkata Knight Riders,98,,89,,0,,2293,601,,,35.28,26.80,26.80,,,7.90,290,,,,255,44,,,,,65,,,,3/13,3/13,3,,0,0,,0
Rahul Chahar,,,PBKS,Punjab Kings,69,,68,15,171,,1862,534,,,28.65,22.74,22.74,,,7.56,245,,,,60,26,,,,,65,,,,4/27,4/27,1,,1,0,,0
Shakib Al Hasan,,,KKR,Kolkata Knight Riders,71,,70,,222,,1839,507,,,29.19,23.56,23.56,,,7.44,247,,,,73,21,,,,,63,,,,3/17,3/17,1,,0,0,,0
Muttiah Muralitharan,,,RCB,Royal Challengers Bangalore,66,,66,,492,,1696,602,,,26.92,24.19,24.19,,,6.68,254,,,,1,0,,,,,63,,,,3/11,3/11,1,,0,0,,0
Varun Chakaravarthy,,,KKR,Kolkata Knight Riders,56,,56,16,140,,1600,480,,,25.81,20.77,20.77,,,7.45,214,,,,56,42,,,,,62,,,,5/20,5/20,1,,1,1,,0
Mitchell Johnson,,,KKR,Kolkata Knight Riders,54,,54,,0,,1702,535,,,27.90,20.20,20.20,,,8.29,205,,,,10,7,,,,,61,,,,3/26,3/26,2,,0,0,,0
Rajat Bhatia,,,RPS,,87,,84,,0,,1874,395,,,30.72,24.69,24.69,,,7.47,251,,,,23,13,,,,,61,,,,3/22,3/22,1,,0,0,,0
James Faulkner,,,GL,,60,,60,,0,,1778,399,,,30.14,20.80,20.80,,,8.69,204,,,,36,23,,,,,59,,,,5/16,5/16,4,,0,2,,0
Siddarth Kaul,,,RCB,Royal Challengers Bangalore,55,,55,19,64,,1739,402,,,29.98,20.84,20.84,,,8.63,201,,,,6,2,,,,,58,,,,4/29,4/29,3,,1,0,,0
Shane Warne,,,RR,Rajasthan Royals,55,,54,,0,,1447,429,,,25.39,20.95,20.95,,,7.27,199,,,,14,6,,,,,57,,,,4/21,4/21,1,,1,0,,0
Khaleel Ahmed,,,DC,Delhi Capitals,43,,43,14,8,,1402,411,,,24.60,17.12,17.12,,,8.62,162,,,,65,27,,,,,57,,,,3/21,3/21,2,,0,0,,0
Arshdeep Singh,,,PBKS,Punjab Kings,51,,51,15,125,,1547,388,,,27.14,18.63,18.63,,,8.74,176,,,,105,22,,,,,57,,,,5/32,5/32,1,,1,1,,0
Avesh Khan,,,LSG,Lucknow Super Giants,47,,47,77,109,,1448,412,,,26.33,18.29,18.29,,,8.64,167,,,,90,22,,,,,55,,,,4/24,4/24,1,,1,0,,0
Anrich Nortje,,,DC,Delhi Capitals,40,,40,14,142,,1280,389,,,24.15,17.40,17.40,,,8.33,153,,,,54,27,,,,,53,,,,3/33,3/33,1,,0,0,,0
Jason Holder,,,RR,Rajasthan Royals,46,,46,18,263,,1461,336,,,27.57,18.77,18.77,,,8.81,165,,,,67,44,,,,,53,,,,4/52,4/52,0,,1,0,,0
