PLAYER,TYPE,BASE PRICE
Kesrick Williams,Bowler,"30,00,000"
Ben Hilfenhaus,Bowler,"30,00,000"
Lahiru Kumara,Bowler,"30,00,000"
Lungisani Ngidi,Bowler,"30,00,000"
Subramaniam Badrinath,Batsman,"30,00,000"
Pragyan Ojha,Bowler,"30,00,000"
Lakshan Sandakan,Bowler,"30,00,000"
Ish Sodhi,Bowler,"30,00,000"
Ronsford Beaton,Bowler,"20,00,000"
Mohamad Asghar Stanikzai,Batsman,"20,00,000"
Manprit Juneja,Batsman,"20,00,000"
Chris Green,All-Rounder,"20,00,000"
Shamar Springer,All-Rounder,"20,00,000"
Ashton Turner,All-Rounder,"20,00,000"
Raymon Reifer,All-Rounder,"20,00,000"
Rajagopal Sathish,All-Rounder,"20,00,000"
Harpreet Singh,Batsman,"20,00,000"
Jalaj Saxena,All-Rounder,"20,00,000"
Nitin Saini,Wicket Keeper,"20,00,000"
Dishant Yagnik,Wicket Keeper,"20,00,000"
Rishi Arothe,Bowler,"10,00,000"
Shivam Chauhan,All-Rounder,"10,00,000"
Karan Kaila,All-Rounder,"10,00,000"
N Jagadeesan,Wicket Keeper,"10,00,000"
Ankit Kaushik,All-Rounder,"10,00,000"
Ritwik Chowdhury,All-Rounder,"10,00,000"
Ben McDermott,Wicket Keeper,"10,00,000"
Parth Kohli,All-Rounder,"10,00,000"
Umang Sharma,Batsman,"10,00,000"
Prithvi Shaw,Batsman,"10,00,000"
Dasari Swaroop Kumar,All-Rounder,"10,00,000"
Glenn Phillips,Wicket Keeper,"10,00,000"
Vishal Kushwah,All-Rounder,"10,00,000"
Nakul Sharma,Wicket Keeper,"10,00,000"
Kanishk Seth,Bowler,"10,00,000"
Jaskaranvir Singh Sohi,Wicket Keeper,"10,00,000"
Shivam Dubey,All-Rounder,"10,00,000"
Puneet Datey,All-Rounder,"10,00,000"
Vikas Tokas,Bowler,"10,00,000"
Akshay Chauhan,Bowler,"10,00,000"
Jamaluddin Syed Mohammad,All-Rounder,"10,00,000"
Sandeep Warrier,Bowler,"10,00,000"
Tushar Deshpande,Bowler,"10,00,000"
Sumit Narwal,All-Rounder,"10,00,000"
Rush Kalaria,All-Rounder,"10,00,000"
Mahipal Lomror,All-Rounder,"10,00,000"
K M Asif,Bowler,"10,00,000"
Bhargav Bhatt,Bowler,"10,00,000"
Priyank Panchal,All-Rounder,"10,00,000"
Manan Sharma,All-Rounder,"10,00,000"
Mohit Ahlawat,Wicket Keeper,"10,00,000"
Manvinder Bisla,Wicket Keeper,"10,00,000"
Prerak Mankad,All-Rounder,"10,00,000"
Shreevats Goswami,Wicket Keeper,"10,00,000"
Amit Mishra,All-Rounder,"10,00,000"
Ronit More,Bowler,"10,00,000"
Sanjay Pahal,All-Rounder,"10,00,000"
Kavish Panchal,All-Rounder,"10,00,000"
Vishnu Vinod,Wicket Keeper,"10,00,000"
Shivam Sharma,All-Rounder,"10,00,000"
Abu Nechim Ahmed,Bowler,"10,00,000"
Rajesh Bishnoi,Bowler,"10,00,000"
Babashafi Khan Pathan,Bowler,"10,00,000"
Rohan Prem,All-Rounder,"10,00,000"
Rahul Shukla,Bowler,"10,00,000"
Syed Mehdi Hasan,Bowler,"10,00,000"
Hanuma Vihari,All-Rounder,"10,00,000"
Sumit Ruikar,All-Rounder,"10,00,000"
Ajay Ahlawat,Bowler,"10,00,000"
Varun Khanna,Bowler,"10,00,000"
Shaurya Sanandia,All-Rounder,"10,00,000"
Veer Pratap Singh,Bowler,"10,00,000"
Manjeet Kumar Chaudhary,Bowler,"10,00,000"
Hardik Sethi,All-Rounder,"10,00,000"
Tanveer Ulhaq,Bowler,"10,00,000"
Ishwar Chaudhary,Bowler,"10,00,000"
Azhar Shaikh,All-Rounder,"10,00,000"
Cheepurupalli Stephen,Bowler,"10,00,000"
K Vignesh,Bowler,"10,00,000"
Rajwinder Singh,Bowler,"10,00,000"
A. Aswin Crist,Bowler,"10,00,000"
Yuvraj Chudasama,Bowler,"10,00,000"
Deepak Dalal,Bowler,"10,00,000"
Vijay Gohil,Bowler,"10,00,000"
Pritam Das,Bowler,"10,00,000"
Rahul Kanojia,Bowler,"10,00,000"
Nikit Dhumal,Bowler,"10,00,000"
R. Sai Kishore,Bowler,"10,00,000"
Shakti Malviya,Bowler,"10,00,000"
M. Ravi Kiran,Bowler,"10,00,000"
Rahil S Shah,Bowler,"10,00,000"
Prasidh Krishna,Bowler,"10,00,000"
Siddarth Trivedi,Bowler,"10,00,000"
Paidakalva Vijay Kumar,Bowler,"10,00,000"
Dhruv Shorey,All-Rounder,"10,00,000"
Chandra Pal Singh,All-Rounder,"10,00,000"
Kaushal Singh,All-Rounder,"10,00,000"
Diwesh Pathania,All-Rounder,"10,00,000"
Shishir Bhavane,Batsman,"10,00,000"
Umar Nazir Mir,Bowler,"10,00,000"
Arjit Gupta,Batsman,"10,00,000"
Khalid Ahmad,All-Rounder,"10,00,000"
Pramod Chandila,Batsman,"10,00,000"
Paras Dogra,Batsman,"10,00,000"
Dafedar Khizar Anwar,All-Rounder,"10,00,000"
Aditya Garhwal,Batsman,"10,00,000"
Himmat Singh,All-Rounder,"10,00,000"
M. D Sarfaraz Ashraf,All-Rounder,"10,00,000"
Amandeep Khare,Batsman,"10,00,000"
Nick Buchanan,All-Rounder,"10,00,000"
Pratyush Kumar,Batsman,"10,00,000"
R Samarth,Batsman,"10,00,000"
Jaskarandeep Singh Buttar,All-Rounder,"10,00,000"
Himanshu Rana,Batsman,"10,00,000"
Writtick Chatterjee,All-Rounder,"10,00,000"
Vinod Kumar C.V.,All-Rounder,"10,00,000"
Pawan Suyal,Bowler,"10,00,000"
Tanmay Srivastava,Batsman,"10,00,000"
Amir Gani,All-Rounder,"10,00,000"
Kuldeep Hooda,All-Rounder,"10,00,000"
D'Arcy Short,Batsman,"10,00,000"
Paul Valthaty,Batsman,"10,00,000"
Apoorv Vijay Wankhade,Batsman,"10,00,000"
Rituraj Singh,All-Rounder,"10,00,000"
Akash Bhandari,All-Rounder,"10,00,000"
Indrajith Baba,All-Rounder,"10,00,000"
Akhil Arvind Herwadkar,All-Rounder,"10,00,000"
Dharmendrasinh Jadeja,All-Rounder,"10,00,000"
M.S. Washington Sundar,All-Rounder,"10,00,000"
Ankit Soni,All-Rounder,"10,00,000"
Chirag Jani,All-Rounder,"10,00,000"
Anirudha Ashok Joshi,All-Rounder,"10,00,000"
Mayank Dagar,Bowler,"10,00,000"
Rujul Haren Bhatt,All-Rounder,"10,00,000"
Amit Verma,All-Rounder,"10,00,000"
Akshay Karnewar,All-Rounder,"10,00,000"
Varun Sood,All-Rounder,"10,00,000"
Pankaj Jaswal,All-Rounder,"10,00,000"
Jay Gokul Bista,All-Rounder,"10,00,000"
Manisankar Murasingh,All-Rounder,"10,00,000"
Shubham Ranjane,All-Rounder,"10,00,000"
Vysak V,All-Rounder,"10,00,000"
Kishore Pramod Kamath,All-Rounder,"10,00,000"
Hiten Dalal,All-Rounder,"10,00,000"
Milind Kumar,All-Rounder,"10,00,000"
Parikshit Valsangkar,All-Rounder,"10,00,000"
Suraj Yadav,All-Rounder,"10,00,000"
Ashok Menaria,All-Rounder,"10,00,000"
Antony Dhas,All-Rounder,"10,00,000"
Jonty Sidhu,Batsman,"10,00,000"
Amit Mishra,Bowler,"10,00,000"
Saurabh Dubey,All-Rounder,"10,00,000"
Sarabjit Ladda,Bowler,"10,00,000"
Ashish Reddy,All-Rounder,"10,00,000"
Atit Sheth,All-Rounder,"10,00,000"
Yogesh Nagar,All-Rounder,"10,00,000"
Amitoze Singh,All-Rounder,"10,00,000"
Tajendra Singh,Batsman,"10,00,000"
Ankit Lamba,Batsman,"10,00,000"
Vinay Galetiya,All-Rounder,"10,00,000"
Biplab Samantray,All-Rounder,"10,00,000"
Vishnu Solanki,All-Rounder,"10,00,000"
Amit Pachhara,Batsman,"10,00,000"
Virat Singh,Batsman,"10,00,000"
Shubham Mavi,Bowler,"10,00,000"
M Mohammed,Bowler,"10,00,000"
M. Kaushik Gandhi,All-Rounder,"10,00,000"
Akshay Wakhare,Bowler,"10,00,000"
Sarthak Ranjan,Batsman,"10,00,000"
Ponam Ponia,Bowler,"10,00,000"
Prashant Chopra,Batsman,"10,00,000"
Ananta Saha,Bowler,"10,00,000"
Nikhil Gangta,All-Rounder,"10,00,000"
Chandrakant Sakure,Bowler,"10,00,000"
C.M. Gautam,Wicket Keeper,"10,00,000"
Kumar Deobrat,Batsman,"10,00,000"
Rassie Van der Dussen,Batsman,"10,00,000"
Anupam Amrut Sanklecha,Bowler,"10,00,000"
Vikash Singh,Bowler,"10,00,000"
Arindam Ghosh,All-Rounder,"10,00,000"
Pavan Deshpande,Batsman,"10,00,000"
K.B Arun Karthik,Wicket Keeper,"10,00,000"
Baltej Singh,Bowler,"10,00,000"
Nishan Singh,Bowler,"10,00,000"
Pradeep T,Bowler,"10,00,000"
Shamsher Yadav,Batsman,"10,00,000"
Rajesh Bishnoi Sr.,Batsman,"10,00,000"
Karanveer Singh,All-Rounder,"10,00,000"
Manik Gupta,Bowler,"10,00,000"
Vijay Rajendra Jethi,All-Rounder,"10,00,000"
Shubek Gill,Bowler,"10,00,000"
Gitansh Khera,Wicket Keeper,"10,00,000"
Chaitanya Bishnoi,All-Rounder,"10,00,000"
Monu Kumar,Bowler,"10,00,000"
Mahesh Rawat,Wicket Keeper,"10,00,000"
Kshitiz Sharma,All-Rounder,"10,00,000"
Fabid Farook Ahmed,All-Rounder,"10,00,000"
Ian Dev Singh Chauhan,Wicket Keeper,"10,00,000"
Subodh Bhati,All-Rounder,"10,00,000"
Christiaan Jonker,All-Rounder,"10,00,000"
