PLAYER,NATIONALITY,TYPE,BASE PRICE
Christopher Benjamin,Overseas,Wicket-Keeper,"20,00,000"
Connor Esterhuizen,Overseas,Wicket-Keeper,"20,00,000"
Mohd Arslan Khan,Indian,Wicket-Keeper,"20,00,000"
Mamidi Krishna,Indian,Wicket-Keeper,"20,00,000"
Fazil Makaya,Indian,Wicket-Keeper,"20,00,000"
Akshdeep Nath,Indian,Wicket-Keeper,"20,00,000"
Deepak Punia,Indian,Wicket-Keeper,"20,00,000"
Ateev Saini,Indian,Wicket-Keeper,"20,00,000"
Bipin Saurabh,Indian,Wicket-Keeper,"20,00,000"
B.R. Sharath,Indian,Wicket-Keeper,"20,00,000"
Yashovardhan Singh,Indian,Wicket-Keeper,"20,00,000"
Lakshay Thareja,Indian,Wicket-Keeper,"20,00,000"
Mohit Avasthi,Indian,Bowler,"20,00,000"
Ottneil Baartman,Overseas,Bowler,"20,00,000"
Gurnoor Singh Brar,Indian,Bowler,"20,00,000"
Shahrukh Dar,Indian,Bowler,"20,00,000"
Pankaj Jaswal,Indian,Bowler,"20,00,000"
Venkatesh Muralidhara,Indian,Bowler,"20,00,000"
Geet Puri,Indian,Bowler,"20,00,000"
E. Sanketh,Indian,Bowler,"20,00,000"
Ajay Sarkar,Indian,Bowler,"20,00,000"
Ashok Sharma,Indian,Bowler,"20,00,000"
Kanwar Singh,Indian,Bowler,"20,00,000"
Shivam Chaudhary,Indian,All-Rounder,"20,00,000"
Ashwin Das,Indian,All-Rounder,"20,00,000"
Chirag Jani,Indian,All-Rounder,"20,00,000"
Akshay Karnewar,Indian,All-Rounder,"20,00,000"
Bhagmender Lather,Indian,All-Rounder,"20,00,000"
Lone Muzaffar,Indian,All-Rounder,"20,00,000"
Pulkit Narang,Indian,All-Rounder,"20,00,000"
Rohit Rayudu,Indian,All-Rounder,"20,00,000"
Sameer Rizvi,Indian,All-Rounder,"20,00,000"
Tunish Sawkar,Indian,All-Rounder,"20,00,000"
Auqib Dar,Indian,Bowler,"20,00,000"
Mukhtar Hussain,Indian,Bowler,"20,00,000"
Ashwani Kumar,Indian,Bowler,"20,00,000"
Hemant Kumar,Indian,Bowler,"20,00,000"
Nathan McAndrew,Overseas,Bowler,"20,00,000"
Rajesh Mohanty,Indian,Bowler,"20,00,000"
Ravi Sharma,Indian,Bowler,"20,00,000"
Vikash Singh,Indian,Bowler,"20,00,000"
