PLAYER,TYPE,BASE PRICE
Rajagopal Sathish,All-Rounder,"30,00,000"
Vidyut Sivaramakrishnan,All-Rounder,"30,00,000"
Jamaluddin Syed Mohammad,Bowler,"30,00,000"
Johnson Charles,Wicket Keeper,"30,00,000"
Mohnish Mishra,Batsman,"30,00,000"
Andre Fletcher,Wicket Keeper,"30,00,000"
Denesh Ramdin,Wicket Keeper,"30,00,000"
Luke Ronchi,Wicket Keeper,"30,00,000"
Kaushal Silva,Wicket Keeper,"30,00,000"
Eklavya Dwivedi,Wicket Keeper,"30,00,000"
Dane Vilas,Wicket Keeper,"30,00,000"
Peter Nevill,Wicket Keeper,"30,00,000"
Sean Abbott,Bowler,"30,00,000"
Gurinder Sandhu,Bowler,"30,00,000"
Sulieman Benn,Bowler,"30,00,000"
Akila Dananjaya,Bowler,"30,00,000"
Ramesh Powar,Bowler,"30,00,000"
Iresh Saxena,Bowler,"30,00,000"
Suraj Randiv,Bowler,"30,00,000"
Farhaan Behardien,Batsman,"30,00,000"
Henry Davids,Batsman,"30,00,000"
Abhinav Mukund,Batsman,"30,00,000"
Upul Tharanga,Batsman,"30,00,000"
Sunny Singh,Batsman,"30,00,000"
Andrew McDonald,All-Rounder,"30,00,000"
Roelof van de Merwe,All-Rounder,"30,00,000"
Dwaine Pretorius,All-Rounder,"30,00,000"
Joginder Sharma,Bowler,"30,00,000"
Fawad Ahmed,Bowler,"30,00,000"
Devendra Bishoo,Bowler,"30,00,000"
M.D Shohag Gazi,Bowler,"30,00,000"
Nikita Miller,Bowler,"30,00,000"
James Muirhead,Bowler,"30,00,000"
Ashley Nurse,Bowler,"30,00,000"
Neil Broom,Batsman,"30,00,000"
Colin Munro,Batsman,"30,00,000"
Aiden Blizzard,Batsman,"30,00,000"
Farveez Maharoof,All-Rounder,"30,00,000"
Faiz Fazal,Batsman,"30,00,000"
Jacob Oram,All-Rounder,"30,00,000"
David Wiese,All-Rounder,"30,00,000"
Adam Milne,Bowler,"30,00,000"
Pankaj Singh,Bowler,"30,00,000"
Hemang Kamal Badani,Batsman,"30,00,000"
Adrian Barath,Batsman,"30,00,000"
Jon-Jon Trevor Smuts,All-Rounder,"30,00,000"
Wasim Jaffer,Batsman,"30,00,000"
Mohammad Kaif,Batsman,"30,00,000"
Jason Behrendorff,Bowler,"30,00,000"
Chamara Kapugedera,Batsman,"30,00,000"
Jehan Mubarak,Batsman,"30,00,000"
Cameron Gannon,Bowler,"30,00,000"
Justin Ontong,Batsman,"30,00,000"
Elton Chigumbura,All-Rounder,"30,00,000"
Grant Elliott,All-Rounder,"30,00,000"
Rayad Emrit,All-Rounder,"30,00,000"
Danza Hyatt,All-Rounder,"30,00,000"
Mohammad Mahmudullah,All-Rounder,"30,00,000"
Garey Mathurin,All-Rounder,"30,00,000"
Angelo Perera,All-Rounder,"30,00,000"
Dilruwan Perera,All-Rounder,"30,00,000"
Ben Laughlin,Bowler,"30,00,000"
Mitchell McClenaghan,Bowler,"30,00,000"
Craig Simmons,Batsman,"30,00,000"
VRV Singh,Bowler,"30,00,000"
Steven Crook,Bowler,"30,00,000"
Lonwabo Tsotsobe,Bowler,"30,00,000"
Sudeep Tyagi,Bowler,"30,00,000"
Tino Best,Bowler,"30,00,000"
Nathan Rimmington,Bowler,"30,00,000"
Simon Jones,Bowler,"30,00,000"
Jerome Taylor,Bowler,"30,00,000"
Juan Theron,Bowler,"30,00,000"
Hamish Bennett,Bowler,"30,00,000"
Ian Butler,Bowler,"30,00,000"
Nuwan Pradeep,Bowler,"30,00,000"
Aavishkar Salvi,Bowler,"30,00,000"
Arjun Yadav,Batsman,"30,00,000"
Isuru Udana,Bowler,"30,00,000"
Tirumalasetti Suman,Batsman,"30,00,000"
Nathan Reardon,Batsman,"30,00,000"
Niall O'Brien,Wicket Keeper,"30,00,000"
Ashok Menaria,All-Rounder,"30,00,000"
Kevin O'Brien,All-Rounder,"30,00,000"
Ali Murtaza,Bowler,"30,00,000"
Jagadeesh VA,Batsman,"20,00,000"
K.B Arun Karthik,Batsman,"20,00,000"
Evin Lewis,Batsman,"20,00,000"
Shreevats Goswami,Wicket Keeper,"20,00,000"
Biplab Samantray,All-Rounder,"20,00,000"
Bipul Sharma,All-Rounder,"20,00,000"
Shreekant Wagh,All-Rounder,"20,00,000"
Anustup Majumdar,Batsman,"20,00,000"
Sheldon Jackson,Batsman,"20,00,000"
Sunny Sohal,Batsman,"20,00,000"
D.B Ravi Teja,Batsman,"20,00,000"
Nicolas Pooran,Wicket Keeper,"20,00,000"
Jonathan Carter,All-Rounder,"20,00,000"
Rakesh Dhruve,All-Rounder,"20,00,000"
Rohan Prem,All-Rounder,"20,00,000"
Imtiyaz Ahmed,Bowler,"20,00,000"
Mohammad Azharullah,Bowler,"20,00,000"
Harpreet Singh,Batsman,"20,00,000"
Robin Singh Bist,Batsman,"20,00,000"
Aaron O'Brien,All-Rounder,"20,00,000"
Raymon Reifer,All-Rounder,"20,00,000"
Stiaan Van Zyl,All-Rounder,"20,00,000"
Aniket Choudhary,Bowler,"20,00,000"
Miguel Cummins,Bowler,"20,00,000"
Michael Neser,Bowler,"20,00,000"
Nicholas Beard,Bowler,"20,00,000"
Arindam Ghosh,Batsman,"20,00,000"
Abhishek Jhunjhunwala,Batsman,"20,00,000"
Akshath Reddy,Batsman,"20,00,000"
Dillon Du Preez,Bowler,"20,00,000"
Anand Rajan,Bowler,"20,00,000"
Sourav Sarkar,Bowler,"20,00,000"
Jiwanjot Singh Chauhan,Batsman,"20,00,000"
Rahul Dewan,Batsman,"20,00,000"
Kyle Mayers,Batsman,"20,00,000"
Shailender Gehlot,Bowler,"20,00,000"
B. Sumanth,Batsman,"20,00,000"
Craig Alexander,Bowler,"20,00,000"
Reeza Hendricks,Batsman,"20,00,000"
Marcus Stoinis,Batsman,"20,00,000"
Ronsford Beaton,Bowler,"20,00,000"
Yogesh Nagar,All-Rounder,"20,00,000"
Harmeet Singh Bansal,Bowler,"20,00,000"
Sachin Baby,Batsman,"20,00,000"
Siddhesh Dinesh Lad,Batsman,"10,00,000"
Kona Srikar Bharat,Wicket Keeper,"10,00,000"
Uday Kaul,Wicket Keeper,"10,00,000"
Smit Kamlesh Patel,Wicket Keeper,"10,00,000"
Sumit Narwal,All-Rounder,"10,00,000"
Amitoze Singh,All-Rounder,"10,00,000"
Raiphi Vincent Gomez,All-Rounder,"10,00,000"
Aravind Sreenath,Bowler,"10,00,000"
K.P. Appanna,Bowler,"10,00,000"
Vishal Vishwas Dabholkar,Bowler,"10,00,000"
Abrar Anjum Kazi,Bowler,"10,00,000"
Saurasish Lahiri,Bowler,"10,00,000"
Prasanth Padmanabhan,Bowler,"10,00,000"
Udit Brijesh Patel,Bowler,"10,00,000"
Rahil S Shah,Bowler,"10,00,000"
Harmeet Singh,Bowler,"10,00,000"
Rajesh Bishnoi,Batsman,"10,00,000"
Paras Dogra,Batsman,"10,00,000"
Harshad Khadiwale,Batsman,"10,00,000"
Shoaib Shabib Shaikh,Batsman,"10,00,000"
Paul Valthaty,Batsman,"10,00,000"
Kedar Devdhar,Wicket Keeper,"10,00,000"
Sagar D Jogiyani,Wicket Keeper,"10,00,000"
Abdul Ahad Malek,Wicket Keeper,"10,00,000"
Vishant More,Wicket Keeper,"10,00,000"
Vinoop S Manoharan,All-Rounder,"10,00,000"
Shrikant Mundhe,All-Rounder,"10,00,000"
Ryan Ninan,All-Rounder,"10,00,000"
Amit Yadav,All-Rounder,"10,00,000"
Vijaykumar Yo Mahesh,All-Rounder,"10,00,000"
Samiullah Beigh,Bowler,"10,00,000"
Samad Fallah,Bowler,"10,00,000"
Hardus Viljoen,Bowler,"10,00,000"
Sunny Gupta,Bowler,"10,00,000"
Sunil N Raju,Bowler,"10,00,000"
Dinesh Salunkhe,Bowler,"10,00,000"
Shahid CP,Bowler,"10,00,000"
Gurinder Singh,Bowler,"10,00,000"
Rajwinder Singh,Bowler,"10,00,000"
Selvam Suresh Kumar,Bowler,"10,00,000"
Avinash Yadav,Bowler,"10,00,000"
Nataraj Behera,Batsman,"10,00,000"
Prashant Chopra,Batsman,"10,00,000"
Mukul Dagar,Batsman,"10,00,000"
B Indrajith,Batsman,"10,00,000"
Ishank Jaggi,Batsman,"10,00,000"
Shubham Khajuria,Batsman,"10,00,000"
Kuldeep Raval,Batsman,"10,00,000"
Amit Verma,Batsman,"10,00,000"
Raju Bhatkal,All-Rounder,"10,00,000"
Chirag Jani,All-Rounder,"10,00,000"
Paresh Patel,All-Rounder,"10,00,000"
Nitish Rana,All-Rounder,"10,00,000"
Pardeep Sahu,All-Rounder,"10,00,000"
Mayank Tehlan,All-Rounder,"10,00,000"
Umar Nazir,Bowler,"10,00,000"
Asad Khan Pathan,Bowler,"10,00,000"
Ankit Singh Rajpoot,Bowler,"10,00,000"
Akash Bhandari,Bowler,"10,00,000"
Akshay Arun Darekar,Bowler,"10,00,000"
R Karthikeyan,Bowler,"10,00,000"
Samar Quadri,Bowler,"10,00,000"
Malolan Rangarajan,Bowler,"10,00,000"
Gajendra Singh,Bowler,"10,00,000"
Pratyush Singh,Bowler,"10,00,000"
Arisht Singhvi,Bowler,"10,00,000"
Varun Sood,Bowler,"10,00,000"
Raju Aushik Srinivas,Bowler,"10,00,000"
Swapnil Asnodkar,Batsman,"10,00,000"
Siddarth Chitnis,Batsman,"10,00,000"
Syed Ahmed Quadri,Batsman,"10,00,000"
R Samarth,Batsman,"10,00,000"
Parvinder Singh,Batsman,"10,00,000"
Tanmay Srivastava,Batsman,"10,00,000"
Jaskarandeep Singh Buttar,All-Rounder,"10,00,000"
Anirudha Ashok Joshi,All-Rounder,"10,00,000"
Saurabh Kumar,All-Rounder,"10,00,000"
Hardik Pandya,All-Rounder,"10,00,000"
Reagan Pinto,All-Rounder,"10,00,000"
Manan Ajay Sharma,All-Rounder,"10,00,000"
Dhruv Singh,All-Rounder,"10,00,000"
Sumeet Verma,All-Rounder,"10,00,000"
Robbie Frylinck,Bowler,"10,00,000"
Kamran Khan,Bowler,"10,00,000"
Abid Nabi,Bowler,"10,00,000"
Hardik Rathod,Bowler,"10,00,000"
Kshemal Waingankar,Bowler,"10,00,000"
Sangram Atitkar,Batsman,"10,00,000"
Abhishek M Hegde,Batsman,"10,00,000"
Kunal Kapoor,Batsman,"10,00,000"
Parag Prakash Khanapurkar,Batsman,"10,00,000"
Sujit Nayak,Batsman,"10,00,000"
Aditya Arvind Waghmode,Batsman,"10,00,000"
Deepak Chahar,Bowler,"10,00,000"
Javed Khan,Bowler,"10,00,000"
Javed Jaish Khan,Bowler,"10,00,000"
David Keelan Mathias,Bowler,"10,00,000"
Saurabh Naresh Netravalkar,Bowler,"10,00,000"
Anupam Amrut Sanklecha,Bowler,"10,00,000"
Jaskaran Singh,Bowler,"10,00,000"
Avi Barot,Batsman,"10,00,000"
Udit Birla,Batsman,"10,00,000"
Bharat Chipli,Batsman,"10,00,000"
Nikhil Gangta,Batsman,"10,00,000"
Karan Goel,Batsman,"10,00,000"
Taruwar Kohli,Batsman,"10,00,000"
Ramaswamy Prasanna,Batsman,"10,00,000"
S Thiyagrajan,Batsman,"10,00,000"
Ajjtesh Argal,Bowler,"10,00,000"
Pritam Das,Bowler,"10,00,000"
Mohammed Abdul Khader,Bowler,"10,00,000"
Anwar Ahmed Khan,Bowler,"10,00,000"
Basanta Kumar Mohanty,Bowler,"10,00,000"
Ram Dayal Punia,Bowler,"10,00,000"
Balwinder Sandhu,Bowler,"10,00,000"
Murtuja Vahora,Bowler,"10,00,000"
Suraj Yadav,Bowler,"10,00,000"
Himalaya Barad,Batsman,"10,00,000"
Cameron Delport,Batsman,"10,00,000"
Prashant Naik,Batsman,"10,00,000"
Nikhil Anant Patil,Batsman,"10,00,000"
Ganesh Sathish,Batsman,"10,00,000"
Mohit Sharma,Batsman,"10,00,000"
Davy Jacobs,Wicket Keeper,"10,00,000"
Ian Dev Singh Chauhan,Batsman,"10,00,000"
Abishek Bhat,Bowler,"10,00,000"
A.Aswin Crist,Bowler,"10,00,000"
Prathamesh Ganesh Dake,Bowler,"10,00,000"
Royston Dias,Bowler,"10,00,000"
M Mohammed,Bowler,"10,00,000"
Niyas Nizar,Bowler,"10,00,000"
Shubham Ranjane,Bowler,"10,00,000"
Baltej Singh,Bowler,"10,00,000"
Rituraj Singh,Bowler,"10,00,000"
Kumar Deobrat,Batsman,"10,00,000"
Akhil Arvind Herwadkar,Batsman,"10,00,000"
Ankit Keshri,Batsman,"10,00,000"
Bhargav Merai,Batsman,"10,00,000"
Nikhil Shankar Naik,Batsman,"10,00,000"
Akshdeep Nath,Batsman,"10,00,000"
Vivek Singh,Batsman,"10,00,000"
Ankit Tiwari,Batsman,"10,00,000"
Saurabh Pradeep Wakaskar,Batsman,"10,00,000"
Nayan Doshi,Bowler,"10,00,000"
Shelly Shaurya,Bowler,"10,00,000"
Napoleon Einstein,Batsman,"10,00,000"
Bhargav Bhatt,Bowler,"10,00,000"
Sarabjit Ladda,Bowler,"10,00,000"
Ankeet Bawane,Batsman,"10,00,000"
