Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Sandeep Sharma,18-5-1993,8.0,9.0,88.88,0.0,0.0,0.0,4.0,0.0,0.0,5*,0.0,India,rhb,366.0,127.0,24.4,20.0,7.32,50,0.0,0.0,15.0,4/20,4/20,1.0,0.0,0.0,300.0,PBKS,Punjab Kings,4.0,14.0,Indian,True
Mitchell Marsh,20-10-1991,7.0,11.0,63.63,0.0,0.0,1.0,0.0,0.0,0.0,7,7.0,Australia,rhb,45.0,28.0,11.25,13.5,5.0,9,0.0,0.0,4.0,4/25,4/25,0.0,0.0,0.0,54.0,RPS,Rising Pune Supergiant,1.0,3.0,Overseas,True
Pravin Tambe,8-10-1971,7.0,19.0,36.84,1.0,0.0,0.0,1.0,0.0,0.0,7*,0.0,India,rhb,143.0,26.0,28.6,19.2,8.93,16,1.0,0.0,5.0,4/20,4/20,0.0,0.0,0.0,96.0,GL,Gujarat Lions,1.0,7.0,Indian,True
Sunil Narine,26-5-1988,7.0,13.0,53.84,0.0,0.0,1.0,3.0,0.0,0.0,4,7.0,West Indies,lhb,304.0,110.0,27.63,23.36,7.09,43,0.0,0.0,11.0,5/19,5/19,0.0,0.0,0.0,258.0,KKR,Kolkata Knight Riders,4.0,11.0,Overseas,False
Peter Handscomb,26-4-1991,6.0,12.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,6,6.0,Australia,rhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,1.0,2.0,Overseas,True
Jayant Yadav,22-1-1990,6.0,10.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,5,3.0,India,rhb,125.0,38.0,62.5,51.0,7.35,17,0.0,0.0,2.0,1/23,1/23,0.0,0.0,0.0,102.0,DC,Delhi Capitals,2.0,5.0,Indian,True
Zaheer Khan,8-10-1978,6.0,13.0,46.15,1.0,0.0,2.0,0.0,0.0,0.0,4,3.0,India,rhb,337.0,111.0,33.7,26.2,7.71,43,1.0,0.0,10.0,4/17,4/17,1.0,0.0,0.0,258.0,DC,Delhi Capitals,2.0,12.0,Indian,True
David Wiese,18-5-1985,5.0,4.0,125.0,0.0,0.0,0.0,1.0,0.0,0.0,5*,0.0,Namibia,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,1.0,1.0,Overseas,True
Mitchell Johnson,2-11-1981,5.0,14.0,35.71,0.0,0.0,2.0,1.0,0.0,0.0,4,2.5,Australia,lhb,106.0,21.0,53.0,33.0,9.63,11,0.0,0.0,2.0,3/26,3/26,0.0,0.0,0.0,66.0,PBKS,Punjab Kings,3.0,3.0,Overseas,False
Imran Tahir,27-3-1979,5.0,7.0,71.42,1.0,0.0,1.0,0.0,0.0,0.0,5,5.0,South Africa,rhb,138.0,25.0,27.6,19.2,8.62,16,1.0,0.0,5.0,4/12,4/12,0.0,0.0,0.0,96.0,DC,Delhi Capitals,1.0,4.0,Overseas,True
