Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Murali Kartik,11-9-1976,26.0,21.0,123.8,1.0,1.0,0.0,4.0,0.0,0.0,14*,0.0,India,lhb,266.0,76.0,66.5,54.0,7.38,36,1.0,1.0,4.0,3/17,3/17,0.0,0.0,0.0,216.0,PWI,Pune Warriors India,4.0,11.0,Indian,False
Dishant Yagnik,22-6-1983,25.0,13.0,192.3,5.0,0.0,1.0,2.0,0.0,0.0,10*,25.0,India,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,3.0,5.0,Indian,False
Abhishek Jhunjhunwala,1-12-1982,24.0,26.0,92.3,1.0,1.0,2.0,1.0,0.0,0.0,19,12.0,India,rhb,38.0,14.0,38.0,36.0,6.33,6,1.0,1.0,1.0,1/13,1/13,0.0,0.0,0.0,36.0,DEC,Deccan Chargers,3.0,5.0,Indian,True
Ryan ten Doeschate,30-6-1980,21.0,21.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,11,10.5,Netherlands,rhb,24.0,2.0,24.0,18.0,8.0,3,0.0,0.0,1.0,1/24,1/24,0.0,0.0,0.0,18.0,KKR,Kolkata Knight Riders,3.0,3.0,Overseas,True
Alfonso Thomas,9-2-1977,19.0,15.0,126.66,1.0,1.0,2.0,0.0,0.0,0.0,12,9.5,South Africa,rhb,109.0,30.0,36.33,28.0,7.78,14,1.0,1.0,3.0,3/22,3/22,0.0,0.0,0.0,84.0,PWI,Pune Warriors India,2.0,4.0,Overseas,True
Srikkanth Anirudha,14-4-1987,19.0,7.0,271.42,1.0,2.0,0.0,2.0,0.0,0.0,18*,0.0,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,2.0,4.0,Indian,True
Wayne Parnell,30-7-1989,19.0,27.0,70.37,2.0,0.0,4.0,1.0,0.0,0.0,11,4.75,South Africa,lhb,128.0,51.0,25.6,25.2,6.09,21,2.0,0.0,5.0,3/27,3/27,1.0,0.0,0.0,126.0,PWI,Pune Warriors India,5.0,6.0,Overseas,False
Dale Steyn,27-6-1983,19.0,21.0,90.47,0.0,1.0,5.0,1.0,0.0,0.0,7,3.8,South Africa,rhb,285.0,138.0,15.83,15.55,6.1,46,0.0,1.0,18.0,3/11,3/11,2.0,0.0,0.0,276.0,DEC,Deccan Chargers,6.0,12.0,Overseas,True
Ryan Harris,11-10-1979,18.0,11.0,163.63,1.0,1.0,1.0,1.0,0.0,0.0,15*,18.0,Australia,rhb,130.0,48.0,16.25,13.5,7.22,18,1.0,1.0,8.0,4/34,4/34,0.0,1.0,0.0,108.0,PBKS,Punjab Kings,2.0,5.0,Overseas,True
Ankit Sharma,20-4-1991,18.0,13.0,138.46,0.0,2.0,3.0,1.0,0.0,0.0,15,6.0,India,lhb,165.0,62.0,41.25,36.25,6.82,24,0.0,2.0,4.0,2/20,2/20,0.0,0.0,0.0,144.0,DEC,Deccan Chargers,4.0,9.0,Indian,False
Ravichandran Ashwin,17-9-1986,18.0,15.0,120.0,2.0,0.0,3.0,2.0,0.0,0.0,8,6.0,India,rhb,432.0,141.0,30.85,28.21,6.56,66,2.0,0.0,14.0,4/34,4/34,0.0,0.0,0.0,396.0,CSK,Chennai Super Kings,5.0,19.0,Indian,True
Cheteshwar Pujara,25-1-1988,17.0,22.0,77.27,1.0,1.0,3.0,0.0,0.0,0.0,11,5.66,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,3.0,3.0,Indian,True
Amit Mishra,24-11-1982,16.0,20.0,80.0,1.0,0.0,3.0,2.0,0.0,0.0,8*,5.33,India,rhb,377.0,89.0,29.0,21.69,8.02,47,1.0,0.0,13.0,5/17,5/17,0.0,0.0,0.0,282.0,DEC,Deccan Chargers,5.0,14.0,Indian,True
Tirumalasetti Suman,15-12-1983,15.0,19.0,78.94,1.0,1.0,2.0,0.0,0.0,0.0,10,7.5,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,2.0,2.0,Indian,True
Ishank Jaggi,27-1-1989,15.0,21.0,71.42,0.0,0.0,2.0,1.0,0.0,0.0,10*,7.5,India,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,3.0,3.0,Indian,True
Paras Dogra,19-11-1984,15.0,24.0,62.5,0.0,0.0,2.0,1.0,0.0,0.0,6,7.5,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,3.0,3.0,Indian,True
Harmeet Singh Bansal,9-10-1987,15.0,7.0,214.28,3.0,0.0,1.0,1.0,0.0,0.0,14,15.0,India,rhb,168.0,33.0,28.0,19.33,8.68,19,3.0,0.0,6.0,3/24,3/24,0.0,0.0,0.0,114.0,PBKS,Punjab Kings,2.0,7.0,Indian,True
Brad Hogg,6-2-1971,15.0,16.0,93.75,1.0,0.0,2.0,1.0,0.0,0.0,13,7.5,Australia,lhb,253.0,73.0,25.3,21.6,7.02,36,1.0,0.0,10.0,4/29,4/29,0.0,0.0,0.0,216.0,RR,Rajasthan Royals,3.0,9.0,Overseas,False
Harshal Patel,23-11-1990,15.0,15.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,10,7.5,India,rhb,340.0,78.0,37.77,27.33,8.29,41,1.0,0.0,9.0,5/27,5/27,0.0,0.0,0.0,246.0,RCB,Royal Challengers Bangalore,3.0,12.0,Indian,True
Mohammad Kaif,1-12-1980,14.0,16.0,87.5,1.0,0.0,1.0,0.0,0.0,0.0,14,14.0,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,1.0,1.0,Indian,True
Sreenath Aravind,8-4-1984,14.0,8.0,175.0,3.0,0.0,0.0,1.0,0.0,0.0,14*,0.0,India,lhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,1.0,1.0,Indian,False
James Faulkner,29-4-1990,14.0,13.0,107.69,0.0,0.0,1.0,1.0,0.0,0.0,11*,14.0,Australia,rhb,72.0,14.0,24.0,16.0,9.0,8,0.0,0.0,3.0,5/16,5/16,0.0,0.0,0.0,48.0,PBKS,Punjab Kings,2.0,2.0,Overseas,True
Dimitri Mascarenhas,30-10-1977,14.0,16.0,87.5,1.0,0.0,3.0,0.0,0.0,0.0,9,4.66,England,rhb,105.0,35.0,15.0,13.71,6.56,16,1.0,0.0,7.0,5/25,5/25,0.0,0.0,1.0,96.0,PBKS,Punjab Kings,3.0,4.0,Overseas,True
Doug Bracewell,28-9-1990,12.0,9.0,133.33,1.0,0.0,0.0,1.0,0.0,0.0,12*,0.0,New Zealand,rhb,32.0,10.0,10.66,8.0,8.0,4,1.0,0.0,3.0,3/32,3/32,0.0,0.0,0.0,24.0,DC,Delhi Capitals,1.0,1.0,Overseas,True
Zaheer Khan,8-10-1978,12.0,17.0,70.58,1.0,0.0,2.0,3.0,0.0,0.0,11*,6.0,India,rhb,453.0,146.0,26.64,21.17,7.55,60,1.0,0.0,17.0,4/17,4/17,1.0,0.0,0.0,360.0,RCB,Royal Challengers Bangalore,5.0,16.0,Indian,True
Krishnakant Upadhyay,18-6-1986,11.0,8.0,137.5,0.0,1.0,0.0,1.0,0.0,0.0,11*,0.0,India,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,1.0,1.0,Indian,True
Ankeet Chavan,28-10-1985,11.0,8.0,137.5,2.0,0.0,1.0,1.0,0.0,0.0,7*,11.0,India,lhb,236.0,55.0,33.71,23.42,8.63,27,2.0,0.0,7.0,2/23,2/23,0.0,0.0,0.0,162.0,RR,Rajasthan Royals,2.0,8.0,Indian,False
Ashish Nehra,29-4-1979,11.0,12.0,91.66,1.0,0.0,0.0,2.0,0.0,0.0,9*,0.0,India,rhb,402.0,99.0,36.54,26.18,8.37,48,1.0,0.0,11.0,4/10,4/10,0.0,0.0,0.0,288.0,PWI,Pune Warriors India,2.0,13.0,Indian,True
Dhawal Kulkarni,10-12-1988,10.0,5.0,200.0,2.0,0.0,0.0,1.0,0.0,0.0,10*,0.0,India,rhb,64.0,23.0,10.66,8.0,8.0,8,2.0,0.0,6.0,4/14,4/14,1.0,0.0,0.0,48.0,MI,Mumbai Indians,1.0,2.0,Indian,True
