BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Obed McCoy,false,,RR,Rajasthan Royals,7,60,7,18,2021-100mb00000000645-1b97133f2fe811,155,237,48,30.96,124,21.54,14.09,14.09,54.00,5.53,9.17,25.5,67,11,2,20,8,16,2,4,1,11,23,3,23,3,23/3,23/3,0,0,0,0,0,20618
Yash Dayal,true,,GT,Gujarat Titans,9,60,9,35,2022-100mb00000000978-bc824605a44611,192,296,76,39.58,129,26.90,17.45,17.45,66.21,4.46,9.25,32.0,63,12,0,31,12,10,3,0,0,11,40,3,40,3,40/3,40/3,0,0,0,0,0,20591
Krunal Pandya,false,,LSG,Lucknow Super Giants,14,60,12,77,2018-100mb00000000017-5e389774e99c11,228,265,72,31.57,160,26.50,22.80,22.80,45.28,8.76,6.97,38.0,119,11,0,18,8,4,0,0,4,10,19,3,19,3,19/3,19/3,1,1,0,0,0,3183
Arshdeep Singh,false,,PBKS,Punjab Kings,14,60,14,15,2019-100mb00000000125-2485f88b449911,300,385,110,36.66,207,38.50,30.00,30.00,54.02,6.12,7.70,50.0,122,25,0,43,6,13,4,0,17,10,37,3,37,3,37/3,37/3,0,0,0,0,0,4698
Sunil Narine,false,,KKR,Kolkata Knight Riders,14,60,14,16,2019-100mb00000000156-a6b6f42c44aa11,336,312,142,42.26,200,34.66,37.33,37.33,38.46,14.00,5.57,56.0,153,18,0,12,12,6,0,0,7,9,21,2,21,2,21/2,21/2,0,0,0,0,0,203
Murugan Ashwin,true,,MI,Mumbai Indians,8,60,8,17,2019-100mb00000000135-c92ea856449b11,174,228,69,39.65,110,25.33,19.33,19.33,60.52,6.21,7.86,29.0,69,8,0,15,13,5,0,0,5,9,14,2,14,2,14/2,14/2,0,0,0,0,0,3187
Dushmantha Chameera,true,,LSG,Lucknow Super Giants,12,60,12,77,2021-100mb00000000608-14fdf8c4e64711,264,384,122,46.21,156,42.66,29.33,29.33,71.35,4.25,8.72,44.0,70,13,0,49,13,12,2,0,9,9,17,2,17,2,17/2,17/2,0,0,0,0,0,817
Anrich Nortje,true,,DC,Delhi Capitals,6,60,6,14,2019-100mb00000000142-040303a144a811,134,217,49,36.56,94,24.11,14.88,14.88,66.35,4.32,9.71,22.2,51,5,1,21,10,5,4,0,2,9,42,3,42,3,42/3,42/3,0,0,0,0,0,5433
Mohammed Siraj,true,,RCB,Royal Challengers Bangalore,15,60,15,19,2019-100mb00000000063-d9aa7a01187311,306,514,129,42.15,196,57.11,34.00,34.00,72.76,3.92,10.07,51.0,83,19,1,47,31,16,3,2,9,9,30,2,30,2,30/2,30/2,0,0,0,0,0,3840
Moeen Ali,false,,CSK,Chennai Super Kings,10,60,10,13,2019-100mb00000000206-501d92f644bb11,143,158,56,39.16,90,19.75,17.87,17.87,51.89,8.93,6.62,23.5,69,2,0,7,9,3,0,0,1,8,13,3,13,3,13/3,13/3,0,0,0,0,0,1735
Hardik Pandya,true,,GT,Gujarat Titans,15,60,10,35,2018-100mb00000000054-e3ebefa2050a11,183,222,76,41.53,113,27.75,22.87,22.87,54.05,6.77,7.27,30.3,66,12,2,21,6,5,1,0,4,8,17,3,17,3,17/3,17/3,0,0,0,0,0,2740
Mustafizur Rahman,false,,DC,Delhi Capitals,8,60,8,14,2019-100mb00000000258-e46e7f697acb11,192,244,76,39.58,123,30.50,24.00,24.00,55.73,6.19,7.62,32.0,70,14,1,25,6,7,0,1,3,8,18,3,18,3,18/3,18/3,0,0,0,0,0,1594
Riley Meredith,true,,MI,Mumbai Indians,8,60,8,17,2021-100mb00000000588-3ec656b291e011,168,236,76,45.23,105,29.50,21.00,21.00,62.71,5.25,8.42,28.0,50,11,1,22,10,13,0,0,5,8,24,2,24,2,24/2,24/2,0,0,0,0,0,4055
Kuldeep Sen,true,,RR,Rajasthan Royals,7,60,7,18,2022-100mb00000001005-56564f7fa44f11,151,237,59,39.07,98,29.62,18.87,18.87,68.35,4.31,9.41,25.1,47,9,1,24,11,6,0,0,3,8,20,4,20,4,20/4,20/4,0,0,1,0,0,20616
Jagadeesha Suchith,false,,SRH,Sunrisers Hyderabad,5,60,5,20,2019-100mb00000000231-e65f77ea61e111,108,140,49,45.37,66,20.00,15.42,15.42,58.57,6.75,7.77,18.0,37,5,1,7,9,7,0,0,1,7,12,2,12,2,12/2,12/2,0,0,0,0,0,2741
Marco Jansen,true,,SRH,Sunrisers Hyderabad,8,60,8,20,2021-100mb00000000586-8238f85f91de11,192,274,83,43.22,118,39.14,27.42,27.42,65.69,5.05,8.56,32.0,61,9,2,24,14,9,0,1,3,7,25,3,25,3,25/3,25/3,0,0,0,0,0,17068
Alzarri Joseph,true,,GT,Gujarat Titans,9,60,9,35,2019-100mb00000000229-75a4b0a0516011,180,264,72,40.00,113,37.71,25.71,25.71,65.90,4.86,8.80,30.0,60,12,0,24,13,4,1,1,4,7,34,2,34,2,34/2,34/2,0,0,0,0,0,3098
Pat Cummins,true,,KKR,Kolkata Knight Riders,5,60,5,16,2018-100mb00000000033-d93110bbf88911,119,212,37,31.09,90,30.28,17.00,17.00,68.86,3.83,10.68,19.5,44,9,0,20,11,8,0,1,6,7,22,3,22,3,22/3,22/3,0,0,0,0,0,488
Glenn Maxwell,true,,RCB,Royal Challengers Bangalore,13,60,10,19,2018-100mb00000000028-acc7d0a3e99d11,144,165,63,43.75,83,27.50,24.00,24.00,54.54,8.47,6.87,24.0,56,7,1,6,11,2,0,0,1,6,22,2,22,2,22/2,22/2,1,1,0,0,0,282
Axar Patel,false,,DC,Delhi Capitals,13,60,13,14,2019-100mb00000000110-79ae08f5449411,258,321,86,33.33,175,53.50,43.00,43.00,52.95,7.37,7.46,43.0,127,10,0,20,15,3,0,0,2,6,10,2,10,2,10/2,10/2,0,0,0,0,0,1113
Sai Kishore,false,,GT,Gujarat Titans,5,60,5,35,2020-100mb00000000544-980117aa639c11,96,121,27,28.12,71,20.16,16.00,16.00,47.93,8.00,7.56,16.0,53,4,0,7,5,2,0,0,1,6,7,2,7,2,7/2,7/2,0,0,0,0,0,7123
Rishi Dhawan,true,,PBKS,Punjab Kings,6,60,6,15,2022-100mb00000000996-0dad4bfba44d11,114,156,33,28.94,86,26.00,19.00,19.00,52.56,6.33,8.21,19.0,54,10,1,13,5,5,0,0,8,6,36,2,36,2,36/2,36/2,0,0,0,0,0,1088
Varun Chakaravarthy,true,,KKR,Kolkata Knight Riders,11,60,11,16,2019-100mb00000000140-a41b85f2449d11,234,332,88,37.60,156,55.33,39.00,39.00,60.24,5.85,8.51,39.0,95,12,2,20,20,8,3,5,1,6,22,1,22,1,22/1,22/1,0,0,0,0,0,5432
Washington Sundar,false,,SRH,Sunrisers Hyderabad,9,60,8,20,2018-100mb00000000020-9223b16ce99c11,168,239,47,27.97,123,39.83,28.00,28.00,56.06,6.22,8.53,28.0,88,7,0,14,13,1,1,0,0,6,21,2,21,2,21/2,21/2,0,0,0,0,0,2973
Liam Livingstone,true,,PBKS,Punjab Kings,14,60,12,15,2019-100mb00000000183-f4a991db44b611,138,202,38,27.53,106,33.66,23.00,23.00,51.48,6.57,8.78,23.0,66,13,0,11,10,6,0,0,0,6,27,3,27,3,27/3,27/3,0,0,0,0,0,3644
Ramandeep Singh,true,,MI,Mumbai Indians,5,60,3,17,2022-100mb00000000991-d9fbad51a44b11,36,54,13,36.11,28,9.00,6.00,6.00,59.25,5.14,9.00,6.0,15,1,0,5,2,5,0,0,1,6,20,3,20,3,20/3,20/3,0,0,0,0,0,20595
Jaydev Unadkat,true,,MI,Mumbai Indians,5,60,5,17,2019-100mb00000000180-1352e0b244b611,120,190,36,30.00,87,31.66,20.00,20.00,64.21,4.80,9.50,20.0,54,5,0,14,11,3,0,0,1,6,32,2,32,2,32/2,32/2,0,0,0,0,0,86
Dwaine Pretorius,true,,CSK,Chennai Super Kings,6,60,6,13,2019-100mb00000000289-12c7b9ef7ae411,126,210,37,29.36,101,35.00,21.00,21.00,52.38,5.72,10.00,21.0,47,19,1,11,11,12,0,0,3,6,30,2,30,2,30/2,30/2,0,0,0,0,0,20573
Tymal Mills,true,,MI,Mumbai Indians,5,60,5,17,2021-100mb00000000643-20197cb22fe611,102,190,30,29.41,77,31.66,17.00,17.00,71.57,3.40,11.17,17.0,36,6,0,22,8,5,0,0,2,6,35,3,35,3,35/3,35/3,0,0,0,0,0,3319
Odean Smith,true,,PBKS,Punjab Kings,6,60,6,15,2022-100mb00000000863-0167ea67833411,90,178,36,40.00,59,29.66,15.00,15.00,80.89,3.21,11.86,15.0,25,2,0,12,16,4,1,0,1,6,30,4,30,4,30/4,30/4,0,0,1,0,0,20600
Ravindra Jadeja,false,,CSK,Chennai Super Kings,10,60,10,13,2018-100mb00000000046-06b5ba89f88b11,198,248,65,32.82,138,49.60,39.60,39.60,50.80,7.61,7.51,33.0,95,13,0,15,11,5,0,0,4,5,39,3,39,3,39/3,39/3,0,0,0,0,0,9
Kumar Kartikeya Singh,true,,MI,Mumbai Indians,4,60,4,17,2022-100mb00000001015-396b0615c6d411,78,102,30,38.46,48,20.40,15.60,15.60,60.78,6.00,7.84,13.0,30,5,0,8,5,0,0,0,1,5,22,2,22,2,22/2,22/2,0,0,0,0,0,20629
Krishnappa Gowtham,true,,LSG,Lucknow Super Giants,4,60,4,77,2019-100mb00000000179-ee3b0d4844b511,72,99,33,45.83,39,19.80,14.40,14.40,70.70,5.14,8.25,12.0,21,4,0,7,7,0,0,0,2,5,30,2,30,2,30/2,30/2,1,0,0,0,0,3834
Basil Thampi,true,,MI,Mumbai Indians,5,60,5,17,2019-100mb00000000213-b49f678b44bc11,96,152,41,42.70,61,30.40,19.20,19.20,71.05,4.36,9.50,16.0,27,6,1,12,10,6,0,0,6,5,35,3,35,3,35/3,35/3,1,0,0,0,0,3825
Shivam Mavi,true,,KKR,Kolkata Knight Riders,6,60,6,16,2019-100mb00000000154-6c74287644aa11,132,227,49,37.12,93,45.40,26.40,26.40,66.07,4.25,10.31,22.0,41,13,0,18,13,8,2,0,2,5,33,1,33,1,33/1,33/1,0,0,0,0,0,3779
