BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Praveen Kumar,,,MI,Mumbai Indians,3,,3,,0,,78,33,,,26.00,24.00,24.00,,,6.50,12,,,,0,0,,,,,3,,,,3/18,3/18,0,,0,0,,0
Muttiah Muralitharan,,,RCB,Royal Challengers Bangalore,5,,5,,492,,124,36,,,41.33,32.00,32.00,,,7.75,16,,,,0,0,,,,,3,,,,3/11,3/11,0,,0,0,,0
JP Duminy,,,DC,Delhi Capitals,14,,11,,0,,240,60,,,80.00,66.00,66.00,,,7.27,33,,,,22,20,,,,,3,,,,4/17,4/17,0,,0,0,,0
Krishmar Santokie,,,MI,Mumbai Indians,2,,2,,0,,90,15,,,30.00,16.00,16.00,,,11.25,8,,,,0,0,,,,,3,,,,2/50,2/50,0,,0,0,,0
Siddarth Kaul,,,DC,Delhi Capitals,5,,5,,64,,126,24,,,63.00,39.00,39.00,,,9.69,13,,,,0,0,,,,,2,,,,4/29,4/29,0,,0,0,,0
Nathan Coulter-Nile,,,DC,Delhi Capitals,2,,1,,5,,27,12,,,13.50,12.00,12.00,,,6.75,4,,,,0,0,,,,,2,,,,4/14,4/14,0,,0,0,,0
David Hussey,,,CSK,Chennai Super Kings,5,,1,,0,,38,5,,,19.00,8.50,8.50,,,13.41,3,,,,8,6,,,,,2,,,,2/2,2/2,0,,0,0,,0
Samuel Badree,,,CSK,Chennai Super Kings,4,,4,,494,,97,40,,,48.50,42.00,42.00,,,6.92,14,,,,0,0,,,,,2,,,,4/9,4/9,0,,0,0,,0
Kieron Pollard,,,MI,Mumbai Indians,15,,12,,166,,262,33,,,131.00,75.00,75.00,,,10.48,25,,,,15,15,,,,,2,,,,4/44,4/44,0,,0,0,,0
Marchant de Lange,,,MI,Mumbai Indians,1,,1,,0,,32,7,,,16.00,12.00,12.00,,,8.00,4,,,,0,0,,,,,2,,,,3/34,3/34,0,,0,0,,0
Rahul Tewatia,,,RR,Rajasthan Royals,3,,3,,120,,59,21,,,29.50,27.00,27.00,,,6.55,9,,,,0,1,,,,,2,,,,3/18,3/18,0,,0,0,,0
