BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Trent Boult,true,Overseas,RR,Rajasthan Royals,10,107,10,18,2019-100mb00000000066-573f78a31e3711,228,312,107,46.92,128,24.00,17.53,17.53,66.66,4.75,8.21,38.0,54,18,2,40,8,7,0,0,4,13,29,3,29,3,29/3,29/3,3,2,0,0,0,969
Deepak Chahar,true,Indian,CSK,Chennai Super Kings,10,107,10,13,2019-100mb00000000091-8640595343ec11,204,297,82,40.19,133,22.84,15.69,15.69,63.97,4.85,8.73,34.0,62,19,0,31,11,11,0,0,5,13,22,3,22,3,22/3,22/3,0,0,0,0,0,140
Nathan Ellis,true,Overseas,PBKS,Punjab Kings,10,107,10,15,2021-100mb00000000633-40c59a2c160011,228,339,68,29.82,165,26.07,17.53,17.53,56.04,5.56,8.92,38.0,100,20,1,28,13,3,2,0,3,13,30,4,30,4,30/4,30/4,0,0,1,0,0,17118
Yash Thakur,true,Indian,LSG,Lucknow Super Giants,9,107,9,77,2022-100mb00000001550-b8b1d54854ee11,191,289,70,36.64,137,22.23,14.69,14.69,59.51,5.45,9.07,31.5,75,13,0,19,16,14,2,0,8,13,37,4,37,4,37/4,37/4,0,0,1,0,0,5624
Mayank Markande,true,Indian,SRH,Sunrisers Hyderabad,10,107,10,20,2019-100mb00000000087-98d4e401342511,228,300,76,33.33,154,25.00,19.00,19.00,57.33,6.16,7.89,38.0,105,10,0,25,12,2,0,0,0,12,15,4,15,4,15/4,15/4,0,0,1,0,0,4951
Mitchell Marsh,true,Overseas,DC,Delhi Capitals,9,107,8,14,2018-100mb00000000040-7f15f6c7f88a11,121,170,36,29.75,96,14.16,10.08,10.08,47.05,7.56,8.42,20.1,59,10,0,8,8,10,1,1,1,12,27,4,27,4,27/4,27/4,1,1,1,0,0,221
Axar Patel,false,Indian,DC,Delhi Capitals,14,107,13,14,2019-100mb00000000110-79ae08f5449411,282,338,105,37.23,183,30.72,25.63,25.63,53.84,7.42,7.19,47.0,129,11,1,23,15,6,0,0,6,11,13,2,13,2,13/2,13/2,0,0,0,0,0,1113
Naveen-ul-Haq,true,Overseas,LSG,Lucknow Super Giants,8,107,7,77,2021-100mb00000000639-cf9c67ec2fe411,168,219,68,40.47,106,19.90,15.27,15.27,55.70,6.46,7.82,28.0,58,18,0,17,9,5,2,4,4,11,38,4,38,4,38/4,38/4,0,0,1,0,0,5681
Sunil Narine,false,Overseas,KKR,Kolkata Knight Riders,14,107,14,16,2019-100mb00000000156-a6b6f42c44aa11,288,383,87,30.20,209,34.81,26.18,26.18,50.65,7.02,7.97,48.0,138,23,0,26,15,8,0,4,2,11,33,3,33,3,33/3,33/3,0,0,0,0,0,203
Maheesh Theekshana,true,Overseas,CSK,Chennai Super Kings,13,107,13,13,2021-100mb00000000629-11c540100bd311,294,392,87,29.59,211,35.63,26.72,26.72,51.53,6.68,8.00,49.0,140,23,1,31,13,4,0,4,5,11,23,2,23,2,23/2,23/2,1,1,0,0,0,20570
Mark Wood,true,Overseas,LSG,Lucknow Super Giants,4,107,4,77,2019-100mb00000000315-585558897aef11,96,130,48,50.00,54,11.81,8.72,8.72,73.84,5.05,8.12,16.0,26,5,0,9,10,5,1,4,8,11,14,5,14,5,14/5,14/5,1,0,0,1,0,2749
Kuldeep Yadav,false,Indian,DC,Delhi Capitals,14,107,14,14,2018-100mb00000000014-227bc550e99c11,294,361,86,29.25,214,36.10,29.40,29.40,45.42,9.18,7.36,49.0,161,15,0,14,18,6,0,0,5,10,15,2,15,2,15/2,15/2,1,1,0,0,0,261
Suyash Sharma,true,Indian,KKR,Kolkata Knight Riders,11,107,11,16,2023-100mb00000001932-5539f1d7c3fd11,234,321,83,35.47,156,32.10,23.40,23.40,62.30,5.57,8.23,39.0,101,10,1,26,16,4,1,5,4,10,30,3,30,3,30/3,30/3,0,0,0,0,0,5668
Ishant Sharma,true,Indian,DC,Delhi Capitals,8,107,8,14,2018-100mb00000000050-4663b710f88b11,150,206,69,46.00,88,20.60,15.00,15.00,66.99,4.54,8.24,25.0,39,10,0,30,3,6,1,0,4,10,19,2,19,2,19/2,19/2,0,0,0,0,0,38
Sandeep Sharma,true,Indian,RR,Rajasthan Royals,12,107,12,18,2019-100mb00000000220-18a6ceb644c011,276,396,95,34.42,195,39.60,27.60,27.60,60.10,5.20,8.60,46.0,113,14,1,40,13,10,4,0,2,10,25,2,25,2,25/2,25/2,0,0,0,0,0,1112
Anrich Nortje,true,Overseas,DC,Delhi Capitals,10,107,10,14,2019-100mb00000000142-040303a144a811,240,364,96,40.00,155,36.40,24.00,24.00,64.28,4.80,9.10,40.0,75,22,0,33,17,8,3,2,4,10,20,2,20,2,20/2,20/2,0,0,0,0,0,5433
T Natarajan,false,Indian,SRH,Sunrisers Hyderabad,12,107,12,20,2019-100mb00000000224-85b4cb8c44c011,270,410,75,27.77,201,41.00,27.00,27.00,58.53,5.09,9.11,45.0,119,23,1,39,14,6,0,6,0,10,23,2,23,2,23/2,23/2,0,0,0,0,0,3831
Marco Jansen,true,Overseas,SRH,Sunrisers Hyderabad,8,107,8,20,2021-100mb00000000586-8238f85f91de11,162,267,69,42.59,108,26.70,16.20,16.20,71.91,3.85,9.88,27.0,51,3,2,30,12,11,5,0,6,10,16,2,16,2,16/2,16/2,1,1,0,0,0,17068
Sam Curran,false,Indian,PBKS,Punjab Kings,14,107,14,15,2019-100mb00000000138-5bd8fcf6449d11,287,489,85,29.61,214,48.90,28.70,28.70,66.66,4.04,10.22,47.5,110,21,1,50,21,11,1,1,7,10,31,3,31,3,31/3,31/3,0,0,0,0,0,2939
Karn Sharma,false,Indian,RCB,Royal Challengers Bangalore,7,107,7,19,2019-100mb00000000098-7a8c366b43f611,129,223,39,30.23,93,22.30,12.90,12.90,69.05,4.30,10.37,21.3,52,9,0,13,17,3,0,4,2,10,19,2,19,2,19/2,19/2,0,0,0,0,0,1118
Krunal Pandya,false,Indian,LSG,Lucknow Super Giants,15,107,12,77,2018-100mb00000000017-5e389774e99c11,252,313,96,38.09,157,34.77,28.00,28.00,60.70,6.00,7.45,42.0,104,11,0,31,11,1,0,4,3,9,18,3,18,3,18/3,18/3,0,0,0,0,0,3183
Moeen Ali,false,Overseas,CSK,Chennai Super Kings,15,107,11,13,2019-100mb00000000206-501d92f644bb11,156,195,57,36.53,100,21.66,17.33,17.33,53.33,7.80,7.50,26.0,72,5,1,8,12,1,0,0,3,9,26,4,26,4,26/4,26/4,0,0,1,0,0,1735
Harpreet Brar,false,Indian,PBKS,Punjab Kings,13,107,11,15,2019-100mb00000000130-89338eb7449a11,163,218,58,35.58,108,24.22,18.11,18.11,57.79,5.82,8.02,27.1,66,10,1,21,7,3,0,1,0,9,30,4,30,4,30/4,30/4,0,0,1,0,0,5441
Wanindu Hasaranga,true,Overseas,RCB,Royal Challengers Bangalore,8,107,8,19,2020-100mb00000000377-c8cec37e2dec11,174,258,55,31.60,120,28.66,19.33,19.33,61.24,5.43,8.89,29.0,76,11,0,17,15,1,0,1,0,9,24,2,24,2,24/2,24/2,0,0,0,0,0,3082
Khaleel Ahmed,true,Indian,DC,Delhi Capitals,9,107,9,14,2018-100mb00000000008-787fc4ece99b11,198,301,89,44.94,123,33.44,22.00,22.00,69.10,4.40,9.12,33.0,53,12,0,31,14,12,2,1,7,9,24,2,24,2,24/2,24/2,2,1,0,0,0,2964
Wayne Parnell,false,Overseas,RCB,Royal Challengers Bangalore,7,107,7,19,2022-100mb00000000829-e8883032782a11,151,236,56,37.08,101,26.22,16.77,16.77,70.33,4.31,9.37,25.1,56,4,0,22,13,5,1,0,1,9,10,3,10,3,10/3,10/3,0,0,0,0,0,223
Vyshak Vijaykumar,true,Indian,RCB,Royal Challengers Bangalore,7,107,7,19,2023-100mb00000002034-c2959cc8d5eb11,144,253,40,27.77,113,28.11,16.00,16.00,64.82,4.23,10.54,24.0,62,9,0,20,14,8,1,0,0,9,20,3,20,3,20/3,20/3,0,0,0,0,0,1097
Rahul Chahar,true,Indian,PBKS,Punjab Kings,14,107,14,15,2019-100mb00000000171-b2aa538f44ae11,298,385,96,32.21,205,48.12,37.25,37.25,52.98,6.62,7.75,49.4,136,21,0,33,12,3,0,0,3,8,16,2,16,2,16/2,16/2,0,0,0,0,0,3763
Adam Zampa,true,Indian,RR,Rajasthan Royals,6,107,6,18,2018-100mb00000000024-431d2bf7e99d11,132,188,40,30.30,93,23.50,16.50,16.50,57.44,5.73,8.54,22.0,60,9,0,15,8,1,0,0,1,8,22,3,22,3,22/3,22/3,0,0,0,0,0,958
Avesh Khan,true,Indian,LSG,Lucknow Super Giants,9,107,9,77,2019-100mb00000000109-5cc123ab449411,174,283,61,35.05,115,35.37,21.75,21.75,68.55,3.95,9.75,29.0,54,15,1,35,9,2,0,0,4,8,25,3,25,3,25/3,25/3,0,0,0,0,0,1561
Amit Mishra,true,Indian,LSG,Lucknow Super Giants,7,107,7,77,2019-100mb00000000107-ae56fbc5449311,114,149,32,28.07,83,21.28,16.28,16.28,51.00,7.12,7.84,19.0,60,6,0,10,6,1,0,1,1,7,21,2,21,2,21/2,21/2,0,0,0,0,0,30
Josh Little,true,Overseas,GT,Gujarat Titans,10,107,10,35,134c0289560f4aa896a37534c1b1e80,204,294,75,36.76,136,42.00,29.14,29.14,61.22,5.36,8.64,34.0,75,16,0,24,14,7,0,0,2,7,25,2,25,2,25/2,25/2,0,0,0,0,0,5683
Alzarri Joseph,true,Overseas,GT,Gujarat Titans,7,107,7,35,2019-100mb00000000229-75a4b0a0516011,144,225,57,39.58,93,32.14,20.57,20.57,66.66,4.96,9.37,24.0,47,11,0,12,17,6,0,0,1,7,27,2,27,2,27/2,27/2,0,0,0,0,0,3098
Kagiso Rabada,false,Overseas,PBKS,Punjab Kings,6,107,6,15,2019-100mb00000000116-dbd48930449611,138,232,62,44.92,84,33.14,19.71,19.71,78.44,3.72,10.08,23.0,35,7,0,20,17,6,3,0,11,7,34,2,34,2,34/2,34/2,0,0,0,0,0,1664
Shardul Thakur,true,Indian,KKR,Kolkata Knight Riders,11,107,9,16,2019-100mb00000000105-4c526de743fe11,126,220,34,26.98,98,31.42,18.00,18.00,66.36,3.93,10.47,21.0,54,7,0,23,9,4,2,1,1,7,23,2,23,2,23/2,23/2,0,0,0,0,0,1745
Mukesh Kumar,true,Indian,DC,Delhi Capitals,10,107,10,14,2022-100mb00000001462-cbc59298427c11,186,326,65,34.94,132,46.57,26.57,26.57,70.55,3.87,10.51,31.0,63,11,0,29,19,10,1,0,2,7,30,2,30,2,30/2,30/2,0,0,0,0,0,5622
Riley Meredith,true,Overseas,MI,Mumbai Indians,5,107,5,17,2021-100mb00000000588-3ec656b291e011,118,207,42,35.59,84,29.57,16.85,16.85,72.46,3.57,10.52,19.4,40,4,0,24,9,7,1,1,1,7,33,2,33,2,33/2,33/2,0,0,0,0,0,4055
Andre Russell,true,Overseas,KKR,Kolkata Knight Riders,14,107,9,16,2019-100mb00000000141-e67c41d144a711,91,172,32,35.16,67,24.57,13.00,13.00,69.76,3.50,11.34,15.1,28,8,0,18,8,5,3,0,1,7,22,3,22,3,22/3,22/3,0,0,0,0,0,177
Michael Bracewell,false,Overseas,RCB,Royal Challengers Bangalore,5,107,5,19,2022-100mb00000001465-c3bbc3db4bb011,66,95,26,39.39,40,15.83,11.00,11.00,67.36,5.07,8.63,11.0,23,4,0,7,6,0,0,0,0,6,13,2,13,2,13/2,13/2,0,0,0,0,0,
Cameron Green,true,Overseas,MI,Mumbai Indians,16,107,16,17,2020-100mb00000000550-247665a42ff311,228,361,88,38.59,151,60.16,38.00,38.00,67.59,4.47,9.50,38.0,79,9,2,31,20,10,1,0,9,6,41,2,41,2,41/2,41/2,0,0,0,0,0,5602
Harshit Rana,true,Indian,KKR,Kolkata Knight Riders,6,107,6,16,2022-100mb00000001013-30676520bcc011,102,147,50,49.01,58,29.40,20.40,20.40,72.10,4.43,8.64,17.0,27,2,0,16,7,5,1,0,6,5,33,2,33,2,33/2,33/2,0,0,0,0,0,20626
Kumar Kartikeya Singh,true,Indian,MI,Mumbai Indians,8,107,8,17,2022-100mb00000001015-396b0615c6d411,156,227,44,28.20,119,45.40,31.20,31.20,53.74,6.50,8.73,26.0,79,9,0,11,13,7,0,1,3,5,37,2,37,2,37/2,37/2,0,0,0,0,0,20629
Vaibhav Arora,true,Indian,KKR,Kolkata Knight Riders,5,107,5,16,2021-100mb00000000583-8f4c0c4491dd11,96,146,33,34.37,74,29.20,19.20,19.20,53.42,5.05,9.12,16.0,36,10,0,18,1,7,4,0,3,5,30,2,30,2,30/2,30/2,0,0,0,0,0,14859
Marcus Stoinis,true,Overseas,LSG,Lucknow Super Giants,15,107,5,77,2018-100mb00000000023-201fd633e99d11,65,100,23,35.38,46,20.00,13.00,13.00,62.00,5.00,9.23,10.5,24,5,0,8,5,4,0,0,1,5,20,2,20,2,20/2,20/2,0,0,0,0,0,964
Akash Singh,true,Indian,CSK,Chennai Super Kings,6,107,6,13,2020-100mb00000000535-66ae8e79639911,114,188,46,40.35,71,37.60,22.80,22.80,75.53,3.80,9.89,19.0,33,5,0,19,11,3,0,0,0,5,40,2,40,2,40/2,40/2,0,0,0,0,0,12585
Umran Malik,true,Indian,SRH,Sunrisers Hyderabad,8,107,8,20,2021-100mb00000000637-4e1434ea244f11,120,217,43,35.83,81,43.40,24.00,24.00,76.49,3.24,10.85,20.0,37,4,0,28,9,4,0,1,1,5,32,2,32,2,32/2,32/2,0,0,0,0,0,15154
Arshad Khan,false,Indian,MI,Mumbai Indians,6,107,6,17,2022-100mb00000000988-ad5c752aa44a11,85,190,27,31.76,70,38.00,17.00,17.00,77.89,2.65,13.41,14.1,24,2,0,22,10,12,0,0,2,5,39,3,39,3,39/3,39/3,0,0,0,0,0,20599
Fazalhaq Farooqi,true,Overseas,SRH,Sunrisers Hyderabad,4,107,4,20,2022-100mb00000001011-d957ea18a45111,80,117,34,42.50,52,29.25,20.00,20.00,61.53,4.44,8.77,13.2,19,7,2,18,0,6,0,1,1,4,41,2,41,2,41/2,41/2,0,0,0,0,0,20610
Jason Holder,true,Overseas,RR,Rajasthan Royals,8,107,8,18,2019-100mb00000000263-296c7a0b7adb11,171,284,46,26.90,130,71.00,42.75,42.75,66.19,4.27,9.96,28.3,79,6,0,26,14,5,0,0,6,4,29,2,29,2,29/2,29/2,0,0,0,0,0,1075
Mitchell Santner,false,Overseas,CSK,Chennai Super Kings,3,107,3,13,2019-100mb00000000075-0984e17e1e4011,72,81,22,30.55,50,27.00,24.00,24.00,46.91,8.00,6.75,12.0,39,2,0,8,1,0,0,0,1,3,28,2,28,2,28/2,28/2,0,0,0,0,0,1903
David Willey,false,Overseas,RCB,Royal Challengers Bangalore,4,107,4,19,2019-100mb00000000090-489459ab43eb11,90,105,37,41.11,57,35.00,30.00,30.00,55.23,6.92,7.00,15.0,37,3,0,10,3,4,0,0,1,3,16,2,16,2,16/2,16/2,1,1,0,0,0,2758
Krishnappa Gowtham,true,Indian,LSG,Lucknow Super Giants,7,107,6,77,2019-100mb00000000179-ee3b0d4844b511,96,118,39,40.62,61,39.33,32.00,32.00,49.15,8.00,7.37,16.0,36,7,2,7,5,4,0,0,0,3,10,1,10,1,10/1,10/1,0,0,0,0,0,3834
Anukul Roy,false,Indian,KKR,Kolkata Knight Riders,4,107,3,16,2019-100mb00000000160-970c8ab644ac11,48,65,20,41.66,31,21.66,16.00,16.00,64.61,6.00,8.12,8.0,20,0,0,3,5,3,0,0,0,3,19,2,19,2,19/2,19/2,0,0,0,0,0,3774
Washington Sundar,false,Indian,SRH,Sunrisers Hyderabad,7,107,7,20,2018-100mb00000000020-9223b16ce99c11,106,146,35,33.01,71,48.66,35.33,35.33,57.53,5.88,8.26,17.4,44,9,0,12,6,0,0,0,0,3,28,3,28,3,28/3,28/3,0,0,0,0,0,2973
Josh Hazlewood,false,Overseas,RCB,Royal Challengers Bangalore,3,107,3,19,2018-100mb00000000036-2af54408f88a11,54,76,29,53.70,28,25.33,18.00,18.00,73.68,4.50,8.44,9.0,11,3,0,8,4,1,2,0,0,3,15,2,15,2,15/2,15/2,0,0,0,0,0,857
Nitish Rana,false,Indian,KKR,Kolkata Knight Riders,14,107,6,16,2019-100mb00000000148-ef59629644a811,53,75,18,33.96,36,25.00,17.66,17.66,61.33,5.30,8.49,8.5,22,3,0,7,3,1,0,0,0,3,17,2,17,2,17/2,17/2,0,0,0,0,0,2738
Yudhvir Singh,true,Indian,LSG,Lucknow Super Giants,3,107,3,77,2021-100mb00000000587-d15a3db891de11,48,71,24,50.00,26,23.66,16.00,16.00,78.87,3.69,8.87,8.0,11,1,0,11,2,2,0,0,2,3,20,2,20,2,20/2,20/2,0,0,0,0,0,10842
Glenn Maxwell,true,Overseas,RCB,Royal Challengers Bangalore,14,107,7,19,2018-100mb00000000028-acc7d0a3e99d11,62,94,19,30.64,45,31.33,20.66,20.66,61.70,5.63,9.09,10.2,30,2,0,4,7,2,0,0,1,3,3,1,3,1,3/1,3/1,0,0,0,0,0,282
Hardik Pandya,true,Indian,GT,Gujarat Titans,16,107,11,35,2018-100mb00000000054-e3ebefa2050a11,150,228,63,42.00,93,76.00,50.00,50.00,79.82,3.75,9.12,25.0,48,2,0,29,11,5,1,4,9,3,10,1,10,1,10/1,10/1,0,0,0,0,0,2740
Arjun Tendulkar,false,Indian,MI,Mumbai Indians,4,107,4,17,2021-100mb00000000585-5404221d91de11,59,92,26,44.06,42,30.66,19.66,19.66,58.69,4.91,9.35,9.5,16,5,1,9,3,8,1,0,3,3,9,1,9,1,9/1,9/1,0,0,0,0,0,10244
Hrithik Shokeen,true,Indian,MI,Mumbai Indians,8,107,8,17,2022-100mb00000000992-02c884cea44c11,114,187,39,34.21,80,62.33,38.00,38.00,62.03,4.75,9.84,19.0,42,12,0,14,10,3,2,0,3,3,34,2,34,2,34/2,34/2,0,0,0,0,0,20598
Asif K M,true,Indian,RR,Rajasthan Royals,4,107,4,18,2019-100mb00000000088-c3250f0243e911,84,138,28,33.33,62,46.00,28.00,28.00,57.97,5.25,9.85,14.0,31,9,0,8,8,6,1,1,0,3,42,2,42,2,42/2,42/2,0,0,0,0,0,4944
Sikandar Raza,true,Overseas,PBKS,Punjab Kings,7,107,6,15,2022-100mb00000000820-ef56fe6f762211,72,119,20,27.77,55,39.66,24.00,24.00,63.86,4.23,9.91,12.0,31,6,0,13,4,3,1,1,4,3,19,1,19,1,19/1,19/1,0,0,0,0,0,5603
Rajvardhan Hangargekar,true,Indian,CSK,Chennai Super Kings,2,107,2,13,202133afbb07519a11ebaadb029cfd5,36,60,14,38.88,29,20.00,12.00,12.00,60.00,4.50,10.00,6.0,11,3,0,6,2,6,1,0,0,3,36,3,36,3,36/3,36/3,0,0,0,0,0,20571
Mohsin Khan,false,Indian,LSG,Lucknow Super Giants,5,107,4,77,2020-100mb00000000541-c84d8371639b11,60,107,23,38.33,41,35.66,20.00,20.00,76.63,3.52,10.70,10.0,17,4,0,10,7,4,0,4,0,3,24,1,24,1,24/1,24/1,0,0,0,0,0,4952
Chris Jordan,true,Overseas,MI,Mumbai Indians,6,107,6,17,2020-100mb00000000519-a0440d96638711,132,237,44,33.33,96,79.00,44.00,44.00,70.04,3.77,10.77,22.0,44,9,0,22,13,8,0,0,4,3,7,1,7,1,7/1,7/1,1,0,0,0,0,1299
Chetan Sakariya,false,Indian,DC,Delhi Capitals,2,107,2,14,2021-100mb00000000592-49eb3f9a91e311,48,89,17,35.41,38,29.66,16.00,16.00,67.41,4.00,11.12,8.0,18,2,0,6,6,6,1,0,0,3,53,2,53,2,53/2,53/2,0,0,0,0,0,11062
Navdeep Saini,true,Indian,RR,Rajasthan Royals,2,107,2,18,2019-100mb00000000207-672d82e544bb11,36,74,12,33.33,28,24.66,12.00,12.00,72.97,3.00,12.33,6.0,14,1,0,9,3,1,3,0,1,3,40,3,40,3,40/3,40/3,0,0,0,0,0,3824
Adil Rashid,true,Indian,SRH,Sunrisers Hyderabad,2,107,2,20,2019-100mb00000000311-daebf48c7aee11,42,56,14,33.33,28,28.00,21.00,21.00,53.57,7.00,8.00,7.0,18,4,0,3,3,0,0,0,0,2,23,2,23,2,23/2,23/2,0,0,0,0,0,796
Lalit Yadav,true,Indian,DC,Delhi Capitals,6,107,4,14,2020-100mb00000000538-c16259a1639a11,78,118,24,30.76,58,59.00,39.00,39.00,61.01,5.57,9.07,13.0,38,2,0,6,8,4,0,0,2,2,29,1,29,1,29/1,29/1,0,0,0,0,0,6870
Jofra Archer,true,Overseas,MI,Mumbai Indians,5,107,5,17,2019-100mb00000000181-80151ce844b611,120,190,49,40.83,80,95.00,60.00,60.00,70.52,4.28,9.50,20.0,41,7,0,17,11,7,2,0,12,2,35,1,35,1,35/1,35/1,0,0,0,0,0,3502
Kuldip Yadav,false,Indian,RR,Rajasthan Royals,2,107,2,18,2021-100mb00000000593-85bf633791e311,42,68,9,21.42,33,34.00,21.00,21.00,52.94,6.00,9.71,7.0,20,6,0,3,4,0,0,0,0,2,18,1,18,1,18/1,18/1,0,0,0,0,0,12480
Abhishek Sharma,false,Indian,SRH,Sunrisers Hyderabad,11,107,5,20,2019-100mb00000000212-9df3a24d44bc11,72,124,23,31.94,52,62.00,36.00,36.00,69.35,4.23,10.33,12.0,29,3,0,8,9,3,0,2,1,2,26,1,26,1,26/1,26/1,0,0,0,0,0,3760
