StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Abhishek Sharma,212,11,0000-00-00,false,Indian,107,2019-100mb00000000212-9df3a24d44bc11,20,SRH,Sunrisers Hyderabad,107,20,2019-100mb00000000212-9df3a24d44bc11,11,12,226,157,55,143.94,35.03,2.85,4.61,65.48,2.21,102,58,10,0,28,6,11,0,NA,2,0,0,67,20.55,4,0,3760
Phil Salt,1220,9,0000-00-00,true,Overseas,107,2022-100mb00000001220-372333e3f9f711,14,DC,Delhi Capitals,107,14,2022-100mb00000001220-372333e3f9f711,9,7,218,133,44,163.90,33.08,3.02,3.91,71.55,2.44,89,48,7,0,24,10,8,1,218.00,2,0,0,87,27.25,5,0,5606
Rilee Rossouw,1426,9,0000-00-00,false,Overseas,107,2022-100mb00000001426-5cf9b7f5336311,14,DC,Delhi Capitals,107,14,2022-100mb00000001426-5cf9b7f5336311,9,8,209,141,51,148.22,36.17,2.76,5.03,64.11,2.32,90,49,13,0,17,11,7,2,104.50,1,0,0,82*,29.86,3,0,239
Ravindra Jadeja,46,16,0000-00-00,false,Indian,107,2018-100mb00000000046-06b5ba89f88b11,13,CSK,Chennai Super Kings,107,13,2018-100mb00000000046-06b5ba89f88b11,12,11,190,133,34,142.85,25.56,3.91,6.65,51.57,1.91,99,66,13,0,11,9,8,4,47.50,0,0,0,25*,23.75,7,0,9
Harry Brook,1218,11,0000-00-00,true,Overseas,107,2022-100mb00000001218-ca0eb4b3f6b111,20,SRH,Sunrisers Hyderabad,107,20,2022-100mb00000001218-ca0eb4b3f6b111,11,12,190,154,65,123.37,42.20,2.36,5.70,61.05,2.13,89,50,12,0,23,4,9,2,95.00,0,1,0,100*,21.11,3,0,5600
Krunal Pandya,17,15,0000-00-00,false,Indian,107,2018-100mb00000000017-5e389774e99c11,77,LSG,Lucknow Super Giants,107,77,2018-100mb00000000017-5e389774e99c11,14,19,188,165,72,113.93,43.63,2.29,7.85,51.06,2.02,93,53,18,1,15,6,10,4,47.00,0,0,0,49*,18.80,8,0,3183
Atharva Taide,1001,7,0000-00-00,false,Indian,107,2022-100mb00000001001-14df7b35a44e11,15,PBKS,Punjab Kings,107,15,2022-100mb00000001001-14df7b35a44e11,7,10,186,129,46,144.18,35.65,2.80,4.96,62.36,2.24,83,45,11,1,20,6,7,0,NA,2,0,0,66,26.57,5,0,20603
Abdul Samad,525,9,0000-00-00,true,Indian,107,2020-100mb00000000525-4d2e1ac6639511,20,SRH,Sunrisers Hyderabad,107,20,2020-100mb00000000525-4d2e1ac6639511,8,11,169,128,52,132.03,40.62,2.46,6.09,62.72,2.22,76,47,8,0,10,11,4,4,42.25,0,0,0,37*,42.25,4,0,19352
Manish Pandey,16,10,0000-00-00,true,Indian,107,2018-100mb00000000016-483406cee99c11,14,DC,Delhi Capitals,107,14,2018-100mb00000000016-483406cee99c11,9,10,160,146,55,109.58,37.67,2.65,8.11,48.75,1.75,91,65,7,1,15,3,9,0,NA,1,0,0,50,17.78,3,0,123
Ambati Rayudu,60,16,0000-00-00,true,Indian,107,2019-100mb00000000060-7861780c161111,13,CSK,Chennai Super Kings,107,13,2019-100mb00000000060-7861780c161111,12,2,158,113,36,139.82,31.85,3.13,5.94,59.49,2.05,77,52,6,0,10,9,10,2,79.00,0,0,0,27*,15.80,2,0,100
