StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Ravindra Jadeja,46,14,,,,10000,,,RR,Rajasthan Royals,10000,,,9,,135,103,,131.06,,,,,,,,,,11,6,11,6,7,2,19.28,0,0,,36*,19.28,,
Irfan Pathan,458,14,,,,10000,,,PBKS,Punjab Kings,10000,,,10,,131,116,,112.93,,,,,,,,,,9,6,9,6,6,4,21.83,0,0,,40,21.83,,
Kamran Akmal,0,6,,,,10000,,,RR,Rajasthan Royals,10000,,,6,,128,78,,164.10,,,,,,,,,,13,8,13,8,5,1,25.60,1,0,,53*,25.60,,
MF Maharoof,0,10,,,,10000,,,DC,Delhi Capitals,10000,,,8,,125,79,,158.22,,,,,,,,,,10,7,10,7,6,2,20.83,0,0,,39,20.83,,
Misbah-ul-Haq,0,8,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,8,,117,81,,144.44,,,,,,,,,,10,6,10,6,7,1,16.71,0,0,,47*,16.71,,
Wasim Jaffer,0,6,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,6,,115,104,,110.57,,,,,,,,,,12,3,12,3,6,0,19.16,1,0,,50,19.16,,
Cameron White,0,8,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,8,,114,102,,111.76,,,,,,,,,,8,4,8,4,7,1,16.28,0,0,,31*,16.28,,
Scott Styris,0,8,,,,10000,,,DEC,Deccan Chargers,10000,,,8,,112,123,,91.05,,,,,,,,,,9,2,9,2,6,2,18.66,0,0,,36*,18.66,,
Praveen Kumar,0,13,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,12,,112,98,,114.28,,,,,,,,,,10,6,10,6,10,2,11.20,0,0,,34,11.20,,
Dwaraka Ravi Teja,0,7,,,,10000,,,DEC,Deccan Chargers,10000,,,6,,109,82,,132.92,,,,,,,,,,10,5,10,5,6,0,18.16,0,0,,40,18.16,,
Tillakaratne Dilshan,484,7,,,,10000,,,DC,Delhi Capitals,10000,,,7,,104,79,,131.64,,,,,,,,,,14,3,14,3,6,1,17.33,0,0,,33,17.33,,
Manoj Tiwary,0,9,,,,10000,,,DC,Delhi Capitals,10000,,,7,,104,85,,122.35,,,,,,,,,,16,0,16,0,4,3,26.00,0,0,,39,26.00,,
Niraj Patel,0,5,,,,10000,,,RR,Rajasthan Royals,10000,,,4,,103,81,,127.16,,,,,,,,,,13,1,13,1,2,2,51.50,1,0,,57,51.50,,
Debabrata Das,0,6,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,6,,103,94,,109.57,,,,,,,,,,9,5,9,5,6,0,17.16,0,0,,31,17.16,,
Simon Katich,0,2,,,,10000,,,PBKS,Punjab Kings,10000,,,2,,96,69,,139.13,,,,,,,,,,11,2,11,2,1,1,96.00,1,0,,75,96.00,,
AB de Villiers,198,6,,,,10000,,,DC,Delhi Capitals,10000,,,6,,95,98,,96.93,,,,,,,,,,5,1,5,1,5,1,19.00,0,0,,26*,19.00,,
Piyush Chawla,149,15,,,,10000,,,PBKS,Punjab Kings,10000,,,7,,90,59,,152.54,,,,,,,,,,10,3,10,3,4,3,22.50,0,0,,24*,22.50,,
Shreevats Goswami,223,4,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,3,,82,85,,96.47,,,,,,,,,,9,1,9,1,3,0,27.33,1,0,,52,27.33,,
Shahid Afridi,0,10,,,,10000,,,DEC,Deccan Chargers,10000,,,9,,81,46,,176.08,,,,,,,,,,7,6,7,6,8,1,10.12,0,0,,33,10.12,,
Karan Goel,0,7,,,,10000,,,PBKS,Punjab Kings,10000,,,6,,76,78,,97.43,,,,,,,,,,7,4,7,4,6,0,12.66,0,0,,26,12.66,,
Ramnaresh Sarwan,0,4,,,,10000,,,PBKS,Punjab Kings,10000,,,4,,73,75,,97.33,,,,,,,,,,6,1,6,1,4,0,18.25,0,0,,31,18.25,,
